school_name,index,LEAID
nacogdochesisd,786,4832090
nataliaisd,688,4832130
nationalpurchasingcooperative,816,
nationalboardsassociation,2394,
navarroindependent,1383,
navasotaisd,1869,4832190
naytahwaushcommunitycharter,1830,
ndsbatestmember,2810,
neah-kah-nieno.56,1560,
nechesisd,2253,4832250
nederlandindependent,932,
needvilleisd,1347,4832310
negaunee,1621,2625020
neogacommunityunit#3,1279,
nevis-isd308,1693,
newberlincusd#16,2004,
newbostonisd,1126,4832340
newbraunfelsisd,1512,4832370
newbuffaloarea,1056,2625140
newcaneyindependent,2256,
newdealisd,2798,4832430
newdianaisd,872,4832460
newfairfield,2415,902730
newtown,2755,902910
newwaverlyisd,883,4832640
newport,2076,500023
newtonisd,1888,4832730
newtownpublic,2787,
nicollet,1842,
nilescommunity,1659,2625560
nilestownshipforspecialeducation#807,2698,
niles-mainelibrary,1293,
nippersink2,1423,1700222
nixon-smileycisd,650,4832740
noconaindependent,2117,
nome,1867,200570
nordheimisd,2206,4832880
normangeeisd,776,4832910
norridge80,1242,1728650
northbend#13,1573,
northbrancharea,1686,2625680
northclackamas,1564,
northcrawford,2150,5504980
northdupagespecialeducationcooperative,1336,
northeastindependent,1897,
northhopkinsisd,2304,4832970
northlamarisd,1049,4833010
northsantiam29j,1548,4100020
northshore112,2398,1700119
northslopeborough,1316,200610
northstonington,2628,903060
northwasco21,1556,4100048
northzulchisd,797,4833030
northbrook28,1190,1728980
northeastmetro916,2488,2702264
northeasttexascommunitycollege,1917,
northeastusd246,2627,
northernarealocalworkforcedevelopmentboard,779,
northernvalley,2261,2003270
northlandcommunity-isd118,1430,
northsideisd,2695,4833090
northville,1326,2625980
northwestarcticborough,1035,200625
northwesteducationservices,2486,2680440
northwestindependent,1405,
northwestkansasesc602,3087,
northwesternillinoisassociation,1342,
novaclassicalacademy,1695,2700337
novicommunity,2699,2626130
nueceshospital,1886,
nye,1025,3200360
oakgrove68,1240,
oakparkesd97,1477,1729250
oakpark,1012,
oaklandtownship,2002,
odessacollege,2234,
o'donnellisd,2081,4833390
ogdencity,752,4900720
okemos,2515,2626280
oltonisd,962,4833660
olympiacusd16,1245,1729890
onaga-havensville-wheatonusd322,2706,
onalaskaindependent,1005,
ontario8c,1188,4109270
oracleelementaryno.2,2125,
orangegroveisd,2329,4833720
orangefieldindependent,2091,
orecityisd,1878,4833840
oregoncommissiononautismspectrumdisorder,2155,
oregonboardsassociation,Oregon,
oregonstateboardofeducation,2146,
oregontrail#46,1571,
oriontownship,1374,
orono,1828,
osawatomieusd367,2595,
oswegopubliclibrary,2043,
otsego,1652,2627060
ottawaareaintermediate,969,
overtonisd,1967,4833870
oxfordcommunity,1339,2627240
oxfordusd358,3088,
paducahisd,2187,4833900
palaciosindependent,1210,
palestineisd,1246,4834050
palmerindependent,683,
palosheights#128,2434,
pampaindependent,2186,
panacusd#8,1756,
panhandleisd,967,4834230
panolacollege,1189,
paradiseisd,2289,4834260
parisisd,687,4834290
parisjuniorcollege,1225,
parisunion95,818,
parkersburgutilityboard,1929,
parkrose3,1541,4109480
parkview,1925,5511130
parshall#3,2216,
pasadenaindependent,1894,
pawpawcusd#271,1977,
pawpaw,1661,
pawneeisd,1961,4834410
paysonunified,1839,
pearlrivercommunitycollege,2531,
pearsallisd,632,4834470
peasterisd,2318,4834500
peckcommunity,1656,2627690
pecos-barstow-toyahisd,1877,4834550
pekincommunityhighno.303,1595,
pendleton16r,1559,
pennfield,2568,2627810
pennoyer#79,1278,
perrytonindependent,689,
petersburgisd,2344,4834680
petersburg,1532,
petroliacisd,708,4834710
pettusindependent,1859,
pewittcisd,654,4834800
pflugervilleisd,Pflugerville,4834830
pharr-sanjuan-alamoisd,2163,4834860
phoenix-talent,2579,
pickford,2808,2628020
pillager#116,2530,
pilotpointindependent,2105,
pimajointtechnicaleducation,1386,
pinckneycommunity,2564,2628140
pineriverarea,1424,2628200
pineriver-backus,2584,2728970
pinetreeindependent,790,
pineywoodscommunityacademy,3043,4800074
pipestonearea,1058,2700108
pittsburgisd,1450,4835010
plainsindependent,823,
plainviewisd,1882,4835070
pleasantgroveindependent,841,
pleasantplainscommunityunit8,1789,
pleasantvalley#62,764,
pleasantdale107,1289,1732040
pleasantonindependent,1980,
plemons-stinnett-phillipscisd,1002,4841580
pojoaquevalley,1370,
ponderindependent,2363,
pontiac,1112,
pope,2342,
portaransasisd,671,4835370
portarthurisd,2236,4835400
porthuronarea,943,2628830
portneches-grovesisd,1419,4835430
portoforange,1217,
portofportarthur,2761,
portorford-langlois2cj,1552,4110020
portsanantonio,2152,
porttampabay,1448,
portage,1485,2628950
portland,915,903390
postisd,1094,4835490
pothisd,699,4835550
pottsboroisd,829,4835580
prairiegrovecsd46,1431,1732520
prairiehillsusd113,2715,
prairieleaisd,2719,4835700
prairilandisd,2317,4835740
premontisd,2221,4835760
prescottunified,1369,
presidioisd,827,4835800
prestonjoint#201,2607,
preston,2429,903420
princetonindependent,1770,
princeton-isd477,1092,
priorlake-savagearea,1136,2730060
"promesa,inc.",2340,
prospectheights23,1256,1732850
prosperindependent,2084,
provisoareaforexceptionalchildren,2812,
provisotownshiphigh,1791,
ofpetoskey,1237,2627930
putnamcusd535,1267,1732960
quanahisd,2244,4836180
queenbee16,1782,1732970
queencityisd,2198,4836210
quinlanindependent,2079,
quitmanindependent,926,
rainsisd,644,4836360
rallsindependent,1946,
ramirezcsd,2335,4836420
randolphfieldindependent,1681,
rankin98,1254,
rantoulcity,2431,
raymondvilleisd,912,4836540
reaganisd,799,4836570
redlake#38,1072,
redlickindependent,2324,
redoakisd,2272,4836660
redwing-isd256,837,
redwaterisd,836,4836750
reedcityarea,2534,2629490
reedsport,2759,
refugioisd,2532,4836780
region10educationservicecenter,1164,
region11educationservicecenter,848,
region12educationservicecenter,1851,
region16educationservicecenter,906,
region16pspconsolidatedisdadvisoryboard,2804,
region17educationservicecenter,2601,
region18educationservicecenter,756,
region3educationservicecenter,1096,
region4educationservicecenter,2173,
region5educationalservicecenter,1776,
region7educationservicecenter,2710,
region8educationservicecenter,2282,1800110
regiononeeducationservicecenter,1388,
renwickusd267,2797,
reynolds,1006,4220220
rhodes841/2,2726,
ricardoindependent,1902,
ricecisd,663,4836970
riceindependent,1016,
richardmilburnacademy,1986,
richardsonisd,705,4837020
richlandcusd1,1308,1713290
richmond-burtonchsd157,1786,1733510
ridgeviewcusd#19,2404,
ridgewoodhigh234,2337,
rileyccsd18,3005,1733750
riovistaisd,916,4837200
riverforest,1677,
riverroadisd,923,4837260
rivertrails26,1305,1733870
rivercrestindependent,2164,
riversidebrookfieldhigh,1689,
riverside96,1668,1733990
rivieraisd,2302,4837320
robbinsdalearea,964,
robinsoncusd#2,2513,
robinsonisd,983,4837410
robstownisd,1504,4837440
robyconsolidatedisd,2012,
rochelleisd,1073,4837500
rockisland-milan#41,1341,
rockridge-isd2909,1613,
rockdaleisd,2212,4837590
"rockfordarea,isd883",1166,
rockford,3040,2630030
rockport-fultonindependent,854,
rockspringsisd(069901),1351,
rockwallindependent,2276,
rockyboy,2020,
rocori750,1809,
rogersisd,1048,4837710
romaisd,2323,4837740
rondout72,1491,1734620
rooseveltindependent,727,
ropesindependent,2792,
roscoecollegiateisd,2397,4837860
roscommonarea,1498,2615830
roseaucommunity,1340,
rosebud-lottisd,750,4837900
roselle12,1680,1734710
rosevillearea,2473,
rossville-alvincusd7,1793,1734870
roswellindependent,1919,
roundtop-carmineisd,2086,4838100
royalindependent,2229,
royaloak,1657,2630300
royalvalleyusd337,2574,
royalton,1814,
roysecityisd,2210,4838220
ruidosomunicipal,801,
rungeisd,882,4838310
rushcity,1833,
rushford-peterson,1829,2728290
ruskindependent,875,
russelltest,604,
russellville,2994,512060
s&scisd,1436,
sabinepassindependent,843,
saginawisd,1170,2680930
saginaw,1662,
saginawtownshipcommunity,1171,2630450
saintpaul,1810,2733840
saintpeter,1605,
saladoisd,1288,4838580
saltcreek48,2680,1735220
saltlakecity,2763,
samrayburnisd,2332,4838640
sanangeloisd,899,4838700
sanantonioisd,1982,4838730
sanbenito,2809,
sancarlosunifiedno.20,1920,
sandiegoindependent,1179,
sanelizarioisd,2311,4838850
sanfelipedelriocisd,775,
sanisidroisd,2319,4838910
sanmarcoscisd,981,4838970
sanperlitai.s.d.,2203,
sansabaisd,646,4839030
sanvicenteisd,2986,4839060
sandridgeno.172,1531,
sandscisd,2028,4838400
sanford-fritchisd,693,4839150
sangerindependent,666,
santacruzvalleyunionhs,1995,
santagertrudisisd,2189,4839300
santamariaindependent,3195,
santarosaindependent,1671,
santoisd,1128,4839390
saranaccommunity,1653,2630930
sasedadministrativecenter,1519,
savoyisd,2539,4839450
schertz-cibolo-universalcityisd,1900,
schillerpark81,1788,1735640
schleicherisd,2739,4839510
197,1385,
206,1200,
45,1675,
622,1069,
ofamery,2090,
ofcameron,1594,
ofcudahy,1139,
offlambeau,1353,
ofmauston,1187,
ofmishicot,1698,
ofnewglarus,970,
ofpotosi,2042,
ofriverfalls,1447,
ofsouthmilwaukee,2087,
oftomahawk,2045,
ofturtlelake,1772,
ofwauzeka-steuben,2054,
craftcommunity,2500,2631020
schulenburgisd,1852,4839540
scio,2820,
scurry-rosserisd,838,4839570
sealyisd,1432,4839630
seaside,3046,
seguinisd,867,4839690
seminoleindependent,719,
seymourisd,1433,4839780
sh130municipalmanagementno.1,2743,
shakopee,1215,
shallowaterisd,2205,4839870
shamrockisd,2330,4839900
sharylandisd,2078,4839930
sheldonisd,1876,4839990
shepherdisd,673,4840020
sheridan48j,1550,4111220
shorewood,1921,5513800
silsbeeindependent,667,
silverconsolidated,945,
silverfalls,1569,
silvertonisd,692,4840290
simmsisd,2061,4840320
sintonisd,794,4840350
sitka,2528,200240
sivellsbendisd,2653,4840380
skidmore-tynanisd,1511,4840410
skokie68,1402,1736450
skokie69,1794,1736480
slatonindependent,726,
slidellisd,2602,4840470
smithcenterusd237,2997,
smithvilleisd,1738,4840550
snookisd,1904,4840620
snowflakeunified#5,2154,
snyderisd,936,4840650
socorroisd,2313,4840710
sodaspringsjoint,1356,1603000
solomonunified393,2984,
somers,2459,904140
somersetindependent,2259,2105430
somervilleisd,1777,4840770
somonaukcusd432,1410,1736570
sonoraisdadministration,1303,
southcoastesd,1574,4100024
southharrisoncommunitycorporation,1138,
southholland,1380,
southkoochiching-rainyriverisd363,1827,
southsanantonioisd,2343,4840680
southst.paul,1813,
southtexasisd,1663,4837150
southumpqua,2991,
southeastisland,1397,200700
southfield,1651,
southington,2466,904230
southsideisd,874,4840920
southwestisd,1979,4840950
southwestmetrointermediate288,1186,2700420
southwesttexasjuniorcollege,1229,
spearmanisd,2303,4841010
speeds.e.j.a.#802,1213,
splendoraisd,1602,4841070
springbranchindependent,889,
springhillisd,771,4841190
springvalleyacademy,2738,
springvalleyccsd99,2223,1737050
springlake-earthisd,2010,4841250
springtownisd,1407,4841280
spurindependent,2247,
spurgerisd,1803,4841340
st.anthony-newbrighton,2549,2733420
st.charlescommunity,1612,2632640
st.cloudarea742,1478,
st.croixfalls,1764,
st.croixpreparatoryacademy,1778,2700362
st.francisarea,1821,2733540
st.francis,2007,
st.johns,1654,1201740
st.josephisd,2188,2680960
st.louispark,1820,
st.louis,1660,2632880
st.mary'scharter,2535,
staffordmunicipal,1043,
stafford,2420,904290
stamfordisd,1437,4841400
standish-sterlingcommunity,1124,2632940
stanfield,2819,
stantonisd,2281,4841430
starrmemorialhospital,3187,
stedyjted,1762,
stephenvilleindependent,1799,
sterlingcityisd,2165,4841550
stillwaterarea,2592,2738190
stockdaleisd,2051,4841610
stratfordisd,2307,4841670
streatorelementary#44,1501,
sudanindependent,2209,
sulphurbluffisd,1014,4841790
sulphurspringsindependent,1046,
summithill161,1239,1738220
sunnybrook,2480,
sunnyvaleisd,1000,4841880
sunrayisd,956,
swanvalley,1487,2633410
swartzcreekcommunity,2437,2633420
sweenyisd,630,4841970
sweetwaterisd,2294,4842030
syracuseusd494,2669,
taftisd,645,4842060
tahokaisd,1956,4842090
tarkingtonisd,707,4842210
tatumindependent,2254,
taylorisd,2401,4842280
tazewell-masoncountiesspecialeducationassociation,2704,
teagueisd,1911,4842300
tecumseh,2587,2633720
tejanocenterforcommunityconcerns,2681,
templecollege,1891,
templeisd,853,4842330
tenahaindependent,2082,
terrellisd,1294,4842420
testcityfortexas,577,
testmanual,1355,
texanscanacademies,1952,4800016
texarkanacollege,1850,
texarkanaindependent,1913,
texasgeneralcounselgroup,2348,
texasforthedeaf,2109,
texassouthernuniversity,2066,
texasstateuniversitysystem,1683,
texaswoman'suniversity,1185,
texhomaisd,1927,4842540
theehrhart,2288,
thorndaleindependent,1847,
thorntonfractionalthsd215,2702,
thrallisd,1024,4842660
threeriversisd,1934,4842690
threerivers,796,
threewayisd,2673,4842720
throckmortoncollegiateisd,2474,4842780
tidehavenindependent,2267,
tiogaindependent,2805,
toberemovedmarengochsd154,2795,
tombeanisd,2036,4842930
tonganoxieusd464,2757,
tornilloindependent,2199,
townofbenson,1593,
townofcicero,1372,
townofemeraldisle,1599,
townofhorizoncity,928,
townshiphigh214,2567,
trentonindependent,1993,
tri-,2748,2791446
trinityindependent,735,
troupisd,1302,4843230
troy30-c,1220,
troyindependent,907,
tuliaindependent,2284,
tuloso-midwayisd,643,4843350
tunica,1416,2804290
tupelopublic,1648,2804320
tylerisd,1932,4843470
ubahmedicalacademy-isd4121,1815,
udallusd463,2765,
umatilla,2588,
umatilla-morrowheadstart,2544,
unioncitycommunity,2400,2634410
uniongroveisd,2217,4843530
unionville-sebewaingarea,2987,
unitedisd,2029,4843650
unitedtownshiphigh30,1325,
unity,2132,3306750
universityofhoustonsystem,685,
usd333concordia,2410,
usd417-morris,2990,
uticacommunity,1321,2634470
uvaldeconsolidatedindependent,1047,
valleymillsisd,2037,4843760
valleyviewisd-hidalgo,922,
valleyviewisd-cooke,1871,
vanalstyneisd,850,4843890
vanburenisd,1474,2680985
vanburen,2346,513410
vanindependent,1879,
vanvleckisd,742,4843950
vanguardacademy,2827,4800195
vegaisd,2068,4843980
venusindependent,636,
veribestisd,2339,4844040
vernonindependent,1442,
vicksburgcommunity,1649,2634950
vidorindependent,1004,
viennatownship,2048,
vigopubliclibrary,1950,
villageofmaywood,1130,
wacoindependent,1965,
wacondausd272,2631,
waconia,1513,
waelderisd,876,4844310
walker-hackensack-akeley,1818,
wallawalla,997,5309450
walledlakeconsolidated,927,2635160
wallerisd,737,4844430
walthallboard,1685,
warrenisd,1991,4844580
washingtoncommunityhigh,1590,
washington50,1493,
washingtonstateconventioncenter,1361,
waskomisd,1052,4844670
watervalleyisd,2222,4844710
waterfordunionhigh,1610,
waterloocusdno.5,1868,
waterville-elysian-morristown,1222,2700013
waunakeecommunity,1924,5515810
wausau,1360,5515900
wauseonexemptedvillage,2794,3904564
waverlycommunity,1086,2635520
wawaseecommunitycorporation,1912,
waxahachieindependent,765,
wayne,1576,1305550
wayzata,1040,
weatherfordindependent,992,
webbcisd,2612,4844810
weber,1523,4901200
weimarisd,785,4844820
wellingtonisd,2098,4844890
wellingtonusd353,2642,
wellman-unionisd,2040,
weslacoindependent,2555,
westallis-westmilwaukee,1597,5516260
westbonner83,2136,
westbranch-rosecityarea,1480,2635850
westcarrollcusd314,1253,1700310
westchicagoelementary33,1758,
westhanovertownship,1176,
westhardincisd,989,4845000
westharvey-dixmoor147,1691,
westindependent,821,
westiron,2690,2632910
westlinn-wilsonville,1543,
westorange-covecisd,2102,4845090
westosoisd,2322,4845120
westottawa,2764,
westruskconsolidatedisd,2295,4845150
westsabineisd,1141,4845180
westbrookisd,2073,4845210
western,1106,2635940
westhoffisd,2828,4845240
weston,2468,905010
westwoodcommunity,1650,2611640
westwoodheights,1165,2635970
westwoodindependent,2047,
wexford-missaukeeisd,1026,2680000
whartonjuniorcollege,2052,
whartonisd,808,4845380
whitedeerindependent,1414,
whiteoakisd,2248,4845480
whitesettlementisd,1404,4845540
whitehouseisd,1841,4845600
whiteriverunified,2032,
whitesboroindependent,1601,
whitneyindependent,2245,
wichitafallsindependent,676,
wildoradoisd,2260,4845840
will92,1292,1723730
williamstoncommunity,1135,2636420
willisisd,2995,4845900
willistonbasin#7,2185,
willspointisd,873,4845950
wilmingtoncusd209u,1674,1742630
wilsonisd,2779,4845990
wimberleyindependent,2301,
windomarea,2781,
windsor,2419,905220
windthorstisd,1118,4846080
win-e-mac,2811,2791449
winfield34,1425,1742720
wink-lovingisd,1184,4846170
winnsboroindependent,738,
winonaisd,925,4846230
winstondillard,1221,
wintersisd,1415,4846260
wodenisd,1800,4846320
wolfecityisd,1494,4846350
wonewoc-unioncenter,1449,5517130
wooddale7,1191,1743020
woodbridge,2455,905310
woodburn,1562,
woodhaven-brownstown,1473,2636485
woodland50,1739,
woodridge68,1790,1717040
woodstockcommunityunit200,1277,
woodvilleisd,769,4846440
workers'compensationself-insurancetrust,1783,
workforcesolutionsalamo,751,
wrenshall,2703,
wrusd,893,
wylieindependent,2275,
yantisisd,696,4846590
yellowmedicineeastisd2190,1157,
ysletaindependent,2312,
yukonflats,2391,200775
yumaelementaryone,2085,
zapataindependent,2305,
zionelementary6,1476,
zionsvillecommunity,2039,1802830
