school_name,index,LEAID
cedarmountain-2754,2796,
cedarsprings,1484,2608520
celesteisd,1411,4813260
celinaindependent,758,
centennialisd12,1528,
centennial,1561,3100099
centercass66,1490,1708970
centerisd,651,4813320
centerpointisd,1923,4813350
centralappraisaloftaylor,3190,
centralarizonavalleyinstituteoftechnology,1801,
centralcusd301,1311,1707830
centralheightsindependent,1517,
centralisd,2291,4813500
centralpoint6,1553,4102940
central,2403,2004230
central104,1243,1709170
central51,1507,1709150
centreville,1989,2608670
century100,2790,
channelviewisd,791,4813590
chanuteusd413,2345,
chapelhillisd-titus,1760,
chapelhillisd-smith,1759,
charlevoix-emmetisd,2499,2680240
charlotte,1031,1200240
chatham,2647,200730
cheboyganarea,3215,2608910
chelsea,911,2503540
cherokeeindependent,1583,
cherokeeindianhospital,2148,
chesterisd,2687,4813770
cheylinusd103,2572,
chicoisd,2255,4813800
childressisd,2242,4813860
chiltonisd,1853,4813920
chinaspringisd,2238,4813960
chisagolakes2144,1066,
chisholm,840,4021780
chisumisd,2316,4800012
christovalisd,1754,4814010
chugach,2598,200800
churchill,1197,3200030
cicero99,1488,1710200
cityoffriona,2824,
cityofhayden,2366,
cityofhermantown,2639,
cityofkarnescity,3006,
cityofouray,2503,
cityofstewartville,2080,
cityofwatford,2633,
cityofwaverly,694,
city,581,
cityviewisd,2280,4814130
clackamascommunitycollege,1412,
clackamaseducationservice,1547,
clarksvilleisd,731,4814190
claudeisd,1169,4814250
clayton,2057,1301230
clearcreekisd,1940,4814280
cleburneindependent,1684,
clevelandisd,1682,4814370
cleveland,2475,500067
cliftonisd,2177,4814400
climax-scottscommunity,2506,2610020
climax-shellyisd592,1831,
clintindependent,919,
clintoncommunity,3191,2610050
clintonresa,2714,2680320
clinton,2467,504410
clioarea,1481,2610110
cloquet,1149,
cloudcommunitycollege,2656,
clydecisd,661,4814450
coahomaisd,984,4814490
coastalbendcollege,2027,
coldspring-oakhurstcisd,672,4814520
collegeoflake,2575,
collegeofthemainland,2271,
collincollege,1010,
collinsvillecusd#10,1231,
collinsvilleisd,2262,4814580
coloradoisd,2243,4814640
columbia-brazoriaisd,1290,4814670
columbiaheights,1211,
columbusindependent,1798,
comalisd,1083,4814730
comancheisd,664,4814760
comfortisd,652,4814790
commerceisd,1127,4814820
communityconsolidated180,1514,
communityconsolidated59,2677,
communityconsolidated93,1266,
communityhigh218,1717,
communityhigh94,1499,
communityisd,1208,4814850
communityunit300,1453,
como-picktoncisd,2314,4814880
comstock,1037,2610590
concept-horizonscienceacademytwincities,2626,
concept-minnesotamathandscienceacademy,2355,
concordcommunity,1623,1802400
connallyisd,690,4814970
constantine,2392,
consumerbankersassociation,2031,
cook104,1792,
cooperisd,2277,4815150
coppellindependent,1721,
coppercountryisd,2693,2680505
copperascoveindependent,665,
corbett,1554,
cordova,2046,
corpuschristiindependent,898,
corrigan-camdenisd,1701,4815300
corsicanaindependent,642,
corunna,1522,2610860
corvallis509j,1216,4103480
cotullaisd,638,4815400
,582,
2,618,
3,2596,
test,2722,
couplandindependent,2708,
coventryboardofeducation,2424,
covert,1506,2610980
covingtonisd,1930,4815480
craigcity,1845,200090
crandallisd,2100,4815510
craneindependent,2491,
cranfillsgapisd,1866,4815570
crawfordisd,2983,4815600
crestwood,1521,2600016
creswell,1558,
crete-moneeboardofeducation,1408,
crockettconsolidatedcommon,857,
crockettindependent,891,
cromwell-wright,1822,2709690
crook,1863,4103720
crosbyisd,1018,4815750
crosby-irontonisd#182,1067,
crosbytoncisd,972,4800001
crossplainsisd,2668,4815810
crossroadsindependent,2096,
crosslakecommunity,978,
crowellisd,655,4815870
crystalcityindependent,1587,
cueroindependent,718,
culberson-allamooreisd,2249,4815990
cumbyisd,2114,
cunningham-westkingmanusd332,2709,
cypress-fairbanksisd,668,4816110
d.c.everestarea,1315,
daingerfield-lonestarisd,986,4816180
dakotacommunityunit201,1495,
dalhartisd,1129,4816200
dallas,2353,101110
damonindependent,1945,
danburyindependent,944,
danvilleccsd118,1734,1711790
darien#61,2826,
darlingtoncommunity,1581,5503150
darrouzettisd,1916,4816320
davis,914,4009510
dawson-boyd,2573,
daytonindependent,639,2101530
decaturisd,648,4816500
deerriverisd317,2476,
deerfieldpublic109,1747,
dekalbisd,892,4816570
