LEA_NAME,LEAID,STATENAME,query_url
Kaizen Education Foundation dba South Pointe Junio (78965),400227,ARIZONA,
Milestones Charter School (79207),400229,ARIZONA,
Pathfinder Charter School Foundation (79024),400230,ARIZONA,
James Madison Preparatory School (79063),400231,ARIZONA,
Excalibur Charter Schools Inc. (79214),400235,ARIZONA,
Paramount Education Studies Inc (79205),400237,ARIZONA,
Paragon Management Inc. (5180),400241,ARIZONA,
Edkey Inc. dba Sequoia Charter School (6446),400244,ARIZONA,
Edkey Inc. - Sequoia Village School (79211),400246,ARIZONA,
Telesis Center for Learning Inc. (79218),400248,ARIZONA,
Carden of Tucson Inc. (78858),400258,ARIZONA,
Southgate Academy Inc. (79085),400259,ARIZONA,
Eastpointe High School Inc. (78833),400261,ARIZONA,
Patagonia Montessori Elementary School (79069),400263,ARIZONA,
Santa Cruz Valley Opportunities in Education Inc. (79066),400264,ARIZONA,
Kestrel Schools Inc. (79065),400267,ARIZONA,
Juniper Tree Academy (79064),400268,ARIZONA,
GAR LLC dba Student Choice High School (78997),400273,ARIZONA,
AIBT Non-Profit Charter High School - Phoenix (79053),400274,ARIZONA,
Highland Free School (79061),400275,ARIZONA,
Academy with Community Partners-Arizona Inc (79213),400276,ARIZONA,
Mohave Accelerated Learning Center (79498),400280,ARIZONA,
Masada Charter School Inc. (79499),400281,ARIZONA,
Harvest Power Community Development Group Inc. (79501),400282,ARIZONA,
Omega Alpha Academy (79503),400284,ARIZONA,
Premier Charter High School (79569),400288,ARIZONA,
Pan-American Elementary Charter (79578),400290,ARIZONA,
Kingman Unified School District (79598),400295,ARIZONA,
North Star Charter School Inc. (79701),400303,ARIZONA,
Calibre Academy (79055),400310,ARIZONA,
ThrivePoint High School Inc. (79059),400311,ARIZONA,
Yavapai Accommodation School District (79379),400315,ARIZONA,
Cobre Valley Institute of Technology District (79391),400316,ARIZONA,
Khalsa Family Services (79420),400317,ARIZONA,
Aprender Tucson (79426),400318,ARIZONA,
Acorn Montessori Charter School (79437),400320,ARIZONA,
Pinnacle Education-WMCB Inc. (79439),400321,ARIZONA,
Desert Rose AcademyInc. (79441),400322,ARIZONA,
Crown Charter School Inc (79443),400323,ARIZONA,
American Virtual Academy (79461),400329,ARIZONA,
James Sandoval Preparatory High School (79475),400332,ARIZONA,
Destiny School Inc. (6258),400339,ARIZONA,
Noah Webster Schools - Mesa (10760),400340,ARIZONA,
Cochise Technology District (79403),400345,ARIZONA,
Coconino Association for Vocation Industry and Tec (79381),400347,ARIZONA,
Central Arizona Valley Institute of Technology (79385),400348,ARIZONA,
Gila Institute for Technology (79387),400349,ARIZONA,
Kaizen Education Foundation dba Vista Grove Prepar (79871),400351,ARIZONA,
American Charter Schools Foundation d.b.a. Estrell (79873),400352,ARIZONA,
American Charter Schools Foundation d.b.a. Peoria  (79875),400353,ARIZONA,
American Charter Schools Foundation d.b.a. Sun Val (79877),400354,ARIZONA,
American Charter Schools Foundation d.b.a. West Ph (79879),400355,ARIZONA,
Nosotros Inc (79881),400356,ARIZONA,
American Charter Schools Foundation d.b.a. Apache  (79883),400357,ARIZONA,
Challenger Basic School Inc. (79886),400359,ARIZONA,
Arizona Community Development Corporation (79947),400361,ARIZONA,
SC Jensen Corporation Inc. dba Intelli-School (79951),400363,ARIZONA,
PAS Charter Inc. dba Intelli-School (79953),400364,ARIZONA,
Valley of the Sun Waldorf Education Association d (79957),400366,ARIZONA,
Pima Prevention Partnership dba Pima Partnership S (79959),400367,ARIZONA,
Midtown Primary School (79994),400370,ARIZONA,
Tucson International Academy Inc. (79979),400373,ARIZONA,
Bell Canyon Charter School Inc (79983),400374,ARIZONA,
Cortez Park Charter Middle School Inc. (79988),400376,ARIZONA,
West Gilbert Charter Middle School Inc. (79990),400377,ARIZONA,
Carpe Diem Collegiate High School (80001),400381,ARIZONA,
CPLC Community Schools dba Toltecalli High School (80032),400382,ARIZONA,
American Charter Schools Foundation d.b.a. Desert  (79872),400384,ARIZONA,
American Charter Schools Foundation d.b.a. Crestvi (79874),400385,ARIZONA,
Kaizen Education Foundation dba Summit High School (79876),400386,ARIZONA,
Kaizen Education Foundation dba Tempe Accelerated  (79878),400387,ARIZONA,
Kaizen Education Foundation dba Skyview High Schoo (79880),400388,ARIZONA,
Kaizen Education Foundation dba Maya High School (79882),400389,ARIZONA,
Camelback Education Inc (79905),400390,ARIZONA,
Vista Charter School (79907),400391,ARIZONA,
Avondale Learning dba Precision Academy (79929),400394,ARIZONA,
LEAD Charter Schools (79967),400395,ARIZONA,
All Aboard Charter School (79969),400396,ARIZONA,
CAFA Inc. dba Learning Foundation Performing Arts (79971),400397,ARIZONA,
Cholla Academy (5186),400402,ARIZONA,
Akimel O Otham Pee Posh Charter School Inc. (5978),400403,ARIZONA,
Akimel O'Otham Pee Posh Charter School Inc. (78966),400404,ARIZONA,
Cornerstone Charter SchoolInc (79077),400405,ARIZONA,
Happy Valley School Inc. (79081),400406,ARIZONA,
CITY Center for Collaborative Learning (85448),400407,ARIZONA,
Satori Inc. (85454),400409,ARIZONA,
Mohave Accelerated Elementary School Inc. (85516),400413,ARIZONA,
Academy of Building Industries Inc. (85540),400414,ARIZONA,
Edkey Inc. (85749),400415,ARIZONA,
StarShine Academy (85807),400416,ARIZONA,
Arizona Agribusiness & Equine Center Inc. (85816),400417,ARIZONA,
Gila County Regional School District (87600),400419,ARIZONA,
Pillar Charter School (87334),400420,ARIZONA,
Rosefield Charter Elementary School Inc. (87399),400424,ARIZONA,
East Mesa Charter Elementary School Inc. (87401),400425,ARIZONA,
Arizona Connections Academy Charter School Inc. (87407),400427,ARIZONA,
Country Gardens Charter Schools (79074),400429,ARIZONA,
Portable Practical Educational Preparation Inc. ( (87405),400432,ARIZONA,
Santa Cruz County Regional School District (85848),400434,ARIZONA,
Imagine Charter Elementary at Desert West Inc. (88367),400438,ARIZONA,
Desert Star Community School Inc. (88321),400439,ARIZONA,
Chandler Preparatory Academy (88299),400440,ARIZONA,
Imagine Middle at Surprise Inc. (88372),400441,ARIZONA,
Imagine Middle at East Mesa Inc. (88369),400442,ARIZONA,
Prescott Valley Charter School (88317),400444,ARIZONA,
Imagine Charter Elementary at Camelback Inc. (88365),400445,ARIZONA,
American Charter Schools Foundation d.b.a. South R (88334),400447,ARIZONA,
Desert Sky Community School Inc. (88308),400448,ARIZONA,
Agua Fria Union High School District (4289),400450,ARIZONA,
Graham County Juvenile Detention (79539),400456,ARIZONA,
Cochise County Juvenile Detention (79462),400457,ARIZONA,
Yuma County Juvenile Justice Center (79524),400458,ARIZONA,
Maricopa County Sheriffs Office (79540),400459,ARIZONA,
Yavapai County Juvenile Justice Center (79533),400460,ARIZONA,
Mohave County Juvenile Detention (79589),400461,ARIZONA,
Aguila Elementary District (4249),400480,ARIZONA,
Ajo Unified District (4409),400520,ARIZONA,
Alhambra Elementary District (4280),400600,ARIZONA,
Desert Heights Charter Schools (81099),400610,ARIZONA,
Northeast Arizona Technological Institute of Vocat (81114),400612,ARIZONA,
Educational Impact Inc. (81123),400613,ARIZONA,
MCCCD on behalf of Phoenix College Preparatory Aca (81174),400614,ARIZONA,
West-MEC - Western Maricopa Education Center (80923),400615,ARIZONA,
American Charter Schools Foundation d.b.a. South P (80989),400618,ARIZONA,
American Charter Schools Foundation d.b.a. Alta Vi (80995),400619,ARIZONA,
Pinnacle Education-Kino Inc. (81009),400625,ARIZONA,
Pinnacle Education-Casa Grande Inc. (81011),400626,ARIZONA,
Cochise Community Development Corporation (81027),400632,ARIZONA,
Canyon Rose Academy Inc. (81029),400633,ARIZONA,
Edkey Inc. - Redwood Academy (81043),400637,ARIZONA,
Edkey Inc. - Pathfinder Academy (81045),400638,ARIZONA,
Edkey Inc. - Sequoia School for the Deaf and Hard (81050),400640,ARIZONA,
Edkey Inc. - Sequoia Ranch School (81052),400641,ARIZONA,
Edkey Inc. dba Arizona Conservatory for Arts and  (79981),400653,ARIZONA,
Veritas Preparatory Academy (80992),400655,ARIZONA,
RSD Charter School Inc. (81033),400656,ARIZONA,
Amphitheater Unified District (4406),400680,ARIZONA,
Legacy Traditional School - Maricopa (88360),400745,ARIZONA,
Eduprize Schools LLC (89412),400746,ARIZONA,
Scottsdale Preparatory Academy (89756),400747,ARIZONA,
Sage Academy Inc. (89414),400748,ARIZONA,
Apache Elementary District (4178),400750,ARIZONA,
Concordia Charter School Inc. (89556),400751,ARIZONA,
Imagine Desert West Middle Inc. (89563),400754,ARIZONA,
Freedom Academy Inc. (89506),400755,ARIZONA,
Imagine Camelback Middle Inc. (89561),400756,ARIZONA,
Arete Preparatory Academy (89486),400757,ARIZONA,
Candeo Schools Inc. (89758),400758,ARIZONA,
Glendale Preparatory Academy (89829),400760,ARIZONA,
Graham County School Superintendent (79543),400762,ARIZONA,
EAGLE South Mountain Charter Inc. (89850),400763,ARIZONA,
ASU Preparatory Academy (89949),400764,ARIZONA,
Gila County Sheriff's Office (79544),400765,ARIZONA,
Imagine Coolidge Elementary Inc. (89786),400766,ARIZONA,
Gila County Juvenile Detention (79494),400767,ARIZONA,
Pima Prevention Partnership dba Pima Partnership A (89864),400768,ARIZONA,
Imagine Prep Surprise Inc. (89790),400770,ARIZONA,
Blue Adobe Project (89871),400771,ARIZONA,
Mountain Institute CTED #2 (90090),400772,ARIZONA,
Yuma County Sheriff's Office (79472),400773,ARIZONA,
Daisy Education Corporation dba Sonoran Science Ac (89915),400774,ARIZONA,
San Tan Montessori School Inc. (89798),400775,ARIZONA,
Daisy Education Corporation dba Sonoran Science Ac (89914),400776,ARIZONA,
Santa Cruz County Sheriff's Office (79473),400777,ARIZONA,
Daisy Education Corporation dba Paragon Science Ac (89917),400778,ARIZONA,
Greenlee County Sheriff's Office (79542),400779,ARIZONA,
Imagine Avondale Elementary Inc. (89784),400780,ARIZONA,
Haven Montessori Children's House Inc. (89951),400782,ARIZONA,
Imagine Prep Superstition Inc. (89788),400783,ARIZONA,
AZ Compass Schools Inc. (89869),400785,ARIZONA,
Kaizen Education Foundation dba Vista Grove Prepar (90330),400787,ARIZONA,
ASU Preparatory Academy (90273),400788,ARIZONA,
Kaizen Education Foundation dba Liberty Arts Acade (90334),400789,ARIZONA,
Apache Junction Unified District (4443),400790,ARIZONA,
Western Arizona Vocational District #50 (90123),400794,ARIZONA,
Academy Del Sol Inc. (90199),400797,ARIZONA,
Kaizen Education Foundation dba Gilbert Arts Acade (90333),400799,ARIZONA,
The Odyssey Preparatory Academy Inc. (90287),400800,ARIZONA,
Skyline Gila River Schools LLC (90329),400801,ARIZONA,
Imagine Avondale Middle Inc. (90162),400802,ARIZONA,
CAFA Inc. dba Learning Foundation and Performing  (90327),400803,ARIZONA,
Choice Academies Inc. (90138),400805,ARIZONA,
Daisy Education Corporation dba. Sonoran Science A (90284),400807,ARIZONA,
Imagine Superstition Middle Inc. (90160),400810,ARIZONA,
Ombudsman Educational Services LTD a subsidiary  (90326),400811,ARIZONA,
Camp Verde Unified School District dba South Verde (90136),400813,ARIZONA,
CPLC Community Schools dba Hiaki High School (90331),400814,ARIZONA,
Anthem Preparatory Academy (90532),400819,ARIZONA,
Compass Points International Inc (90533),400820,ARIZONA,
Pima Prevention Partnership (90536),400821,ARIZONA,
Daisy Education Corporation dba. Sonoran Science A (90541),400822,ARIZONA,
Kaizen Education Foundation dba Mission Heights Pr (90548),400823,ARIZONA,
Leading Edge Academy Maricopa (90637),400824,ARIZONA,
Arizona Education Solutions (90758),400827,ARIZONA,
Arizona Agribusiness & Equine Center Inc. (90779),400828,ARIZONA,
Archway Classical Academy Trivium West (90915),400832,ARIZONA,
Archway Classical Academy Veritas (90916),400833,ARIZONA,
Archway Classical Academy Chandler (90917),400834,ARIZONA,
Yuma County Education Service Agency (79196),400835,ARIZONA,
Arizona Supreme Court (9576),400836,ARIZONA,
Apache County Sheriff's Office (79547),400837,ARIZONA,
Arizona Agribusiness & Equine Center Inc. (91131),400838,ARIZONA,
Pima Rose Academy Inc. (90997),400839,ARIZONA,
Archway Classical Academy Scottsdale (90857),400841,ARIZONA,
Legacy Traditional School - Northwest Tucson (91137),400842,ARIZONA,
La Tierra Community School Inc (90900),400844,ARIZONA,
Leading Edge Academy Queen Creek  (91174),400845,ARIZONA,
Legacy Traditional School - Avondale (91135),400847,ARIZONA,
EAGLE College Prep Harmony LLC (91170),400849,ARIZONA,
Reid Traditional Schools' Painted Rock Academy Inc (91317),400850,ARIZONA,
Trivium Preparatory Academy (90859),400851,ARIZONA,
Kaizen Education Foundation dba Havasu Preparatory (90535),400852,ARIZONA,
South Phoenix Academy Inc. (91108),400853,ARIZONA,
Legacy Traditional School - Chandler (91133),400855,ARIZONA,
ASU Preparatory Academy (91305),400859,ARIZONA,
North Phoenix Preparatory Academy (90879),400861,ARIZONA,
The Paideia Academies Inc (91250),400863,ARIZONA,
Happy Valley East (90906),400864,ARIZONA,
Archway Classical Academy Glendale (91878),400866,ARIZONA,
Ball Charter Schools (Val Vista) (90885),400867,ARIZONA,
Legacy Traditional School - Laveen Village (91763),400871,ARIZONA,
Institute for Transformative Education Inc. (90876),400872,ARIZONA,
Archway Classical Academy North Phoenix (91758),400873,ARIZONA,
Maryvale Preparatory Academy (90861),400875,ARIZONA,
George Gervin Youth Center Inc. (90884),400876,ARIZONA,
Empower College Prep (91277),400877,ARIZONA,
Scottsdale Country Day School (91110),400879,ARIZONA,
Southwest Leadership Academy (92043),400880,ARIZONA,
Kaizen Education Foundation dba Advance U (91329),400882,ARIZONA,
ASU Preparatory Academy (92327),400884,ARIZONA,
Incito Schools (91326),400885,ARIZONA,
Archway Classical Academy Cicero (92314),400886,ARIZONA,
Vista College Preparatory Inc. (91948),400887,ARIZONA,
Archway Classical Academy Arete (92312),400888,ARIZONA,
ASU Preparatory Academy (92325),400890,ARIZONA,
Academy of Mathematics and Science South Inc. (90878),400891,ARIZONA,
Legacy Traditional School - Casa Grande (92199),400892,ARIZONA,
Hirsch Academy A Challenge Foundation (91275),400893,ARIZONA,
Kaizen Education Foundation dba Discover U Element (91328),400894,ARIZONA,
Espiritu Community Development Corp. (92250),400895,ARIZONA,
Legacy Traditional School - Gilbert (92047),400899,ARIZONA,
Cicero Preparatory Academy (92316),400900,ARIZONA,
The Farm at Mission Montessori Academy (91340),400902,ARIZONA,
Edkey Inc. - Sequoia Pathway Academy (92226),400904,ARIZONA,
StrengthBuilding Partners (91992),400907,ARIZONA,
Madison Highland Prep (91935),400909,ARIZONA,
Ash Fork Joint Unified District (4471),400910,ARIZONA,
EAGLE College Prep Mesa LLC. (91939),400912,ARIZONA,
Arizona Autism Charter Schools Inc. (91958),400913,ARIZONA,
Franklin Phonetic Primary School Inc. (92596),400914,ARIZONA,
CASA Academy (91934),400915,ARIZONA,
EAGLE College Prep Maryvale LLC (91938),400916,ARIZONA,
Arizona Language Preparatory (92566),400918,ARIZONA,
Lincoln Preparatory Academy (92657),400919,ARIZONA,
Desert Star Academy (92302),400922,ARIZONA,
Western School of Science and Technology Inc. (91937),400924,ARIZONA,
Archway Classical Academy Lincoln (92656),400925,ARIZONA,
Heritage Academy Laveen Inc. (92520),400926,ARIZONA,
Legacy Traditional School - Queen Creek (92610),400927,ARIZONA,
Noah Webster Schools-Pima (92374),400929,ARIZONA,
Legacy Traditional School - Surprise (92879),400933,ARIZONA,
Self Development Academy-Phoenix (92381),400934,ARIZONA,
Espiritu Schools (92902),400939,ARIZONA,
Academy of Mathematics and Science Inc. (92768),400940,ARIZONA,
Ethos Academy - A Challenge Foundation Academy (92379),400942,ARIZONA,
Leman Academy of Excellence Inc. (92730),400944,ARIZONA,
Pensar Academy (92972),400945,ARIZONA,
ASU Preparatory Academy (346763),400946,ARIZONA,
ASU Preparatory Academy - Casa Grande (92987),400947,ARIZONA,
