,LEA_NAME,LEAID,STATENAME
166,Bering Strait School District,200020,ALASKA
167,Bristol Bay Borough School District,200030,ALASKA
168,Alaska Gateway School District,200050,ALASKA
169,Cordova City School District,200060,ALASKA
170,Copper River School District,200070,ALASKA
171,Craig City School District,200090,ALASKA
172,Delta/Greely School District,200100,ALASKA
173,Dillingham City School District,200120,ALASKA
174,Galena City School District,200130,ALASKA
175,Ketchikan Gateway Borough School District,200150,ALASKA
176,Anchorage School District,200180,ALASKA
177,Juneau Borough School District,200210,ALASKA
178,Sitka School District,200240,ALASKA
179,Haines Borough School District,200270,ALASKA
180,Hoonah City School District,200300,ALASKA
181,Hydaburg City School District,200330,ALASKA
182,Kake City School District,200360,ALASKA
183,Kenai Peninsula Borough School District,200390,ALASKA
184,Klawock City School District,200450,ALASKA
185,Kodiak Island Borough School District,200480,ALASKA
186,Lake and Peninsula Borough School District,200485,ALASKA
187,Matanuska-Susitna Borough School District,200510,ALASKA
188,Iditarod Area School District,200520,ALASKA
189,Annette Island School District,200525,ALASKA
190,Nenana City School District,200540,ALASKA
191,Nome Public Schools,200570,ALASKA
192,Fairbanks North Star Borough School District,200600,ALASKA
193,North Slope Borough School District,200610,ALASKA
194,Northwest Arctic Borough School District,200625,ALASKA
195,Pelican City School District,200630,ALASKA
196,Petersburg Borough School District,200660,ALASKA
197,Pribilof School District,200670,ALASKA
198,Saint Mary's School District,200680,ALASKA
199,Skagway School District,200690,ALASKA
200,Southeast Island School District,200700,ALASKA
201,Southwest Region School District,200710,ALASKA
202,Tanana City School District,200715,ALASKA
203,Unalaska City School District,200720,ALASKA
204,Chatham School District,200730,ALASKA
205,Kuspuk School District,200760,ALASKA
206,Denali Borough School District,200770,ALASKA
207,Yukon Flats School District,200775,ALASKA
208,Valdez City School District,200780,ALASKA
209,Chugach School District,200800,ALASKA
210,Wrangell Public School District,200810,ALASKA
211,Yakutat School District,200840,ALASKA
212,Yukon-Koyukuk School District,200862,ALASKA
213,Cave Creek Unified District (4244),400001,ARIZONA
214,Chino Valley Unified District (4474),400003,ARIZONA
215,Clarkdale-Jerome Elementary District (4486),400004,ARIZONA
216,Salome Consolidated Elementary District (4514),400005,ARIZONA
217,Center for Academic Success Inc. (4191),400016,ARIZONA
218,Pine Forest Education Association Inc. (4201),400018,ARIZONA
219,Flagstaff Arts And Leadership Academy (4202),400019,ARIZONA
220,Flagstaff Montessori (4205),400020,ARIZONA
221,Colorado City Unified District (4370),400021,ARIZONA
222,Vernon Elementary District (4162),400022,ARIZONA
223,Pinon Unified District (4390),400023,ARIZONA
224,Heber-Overgaard Unified District (4392),400026,ARIZONA
225,Triumphant Learning Center (4225),400028,ARIZONA
226,Ridgeline Academy Inc. (4301),400031,ARIZONA
227,The Boys & Girls Clubs of the Valley (4305),400033,ARIZONA
228,Reid Traditional Schools' Valley Academy Inc. (4306),400034,ARIZONA
229,Twenty First Century Charter School Inc. Bennett  (4310),400037,ARIZONA
230,STEP UP Schools Inc. (4313),400040,ARIZONA
231,Maricopa County Community College District dba Gat (4314),400041,ARIZONA
232,New School For The Arts (4316),400043,ARIZONA
233,Salt River Pima-Maricopa  Community Schools (4320),400047,ARIZONA
234,Espiritu Community Development Corp. (4335),400052,ARIZONA
235,Heritage Academy Inc. (4336),400053,ARIZONA
236,Villa Montessori Charter School (4339),400054,ARIZONA
237,EduPreneurship Inc. (4341),400055,ARIZONA
238,Arizona School For The Arts (4345),400056,ARIZONA
239,Arizona Center for Youth Resources (4346),400057,ARIZONA
240,Intelli-School Inc. (4352),400061,ARIZONA
241,Benjamin Franklin Charter School - Queen Creek (4355),400065,ARIZONA
242,Victory High School Inc. (4358),400067,ARIZONA
243,Montessori Day Public Schools Chartered Inc. (4359),400068,ARIZONA
244,Khalsa Montessori Elementary Schools (4360),400069,ARIZONA
245,Tempe Preparatory Academy (4361),400070,ARIZONA
246,Bright Beginnings School Inc. (4362),400071,ARIZONA
247,Montessori Education Centre Charter School (4363),400072,ARIZONA
248,Kingman Academy Of Learning (4383),400074,ARIZONA
249,Young Scholars Academy Charter School Corp. (4385),400075,ARIZONA
250,Career Development Inc. (4400),400077,ARIZONA
251,Edge School Inc. The (4421),400078,ARIZONA
252,Tucson Youth Development/ACE Charter High School (4422),400079,ARIZONA
253,Presidio School (4425),400081,ARIZONA
254,Colorado River Union High School District (4381),400082,ARIZONA
255,Portable Practical Educational Preparation Inc. ( (4431),400083,ARIZONA
256,Sedona Charter School Inc. (4492),400089,ARIZONA
257,Mingus Springs Charter School (4493),400090,ARIZONA
258,Franklin Phonetic Primary School Inc. (4495),400092,ARIZONA
259,Skyview School Inc. (4496),400093,ARIZONA
260,Az-Tec High School (4508),400094,ARIZONA
261,Yuma Private Industry Council Inc. (4509),400095,ARIZONA
262,Mountain School Inc. (4203),400096,ARIZONA
263,Northland Preparatory Academy (4204),400097,ARIZONA
264,Flagstaff Junior Academy (4207),400098,ARIZONA
265,Liberty High School (4216),400099,ARIZONA
266,Ball Charter Schools (Hearn) (4294),400100,ARIZONA
267,Friendly House Inc. (4303),400102,ARIZONA
268,Ombudsman Educational Services Ltd.a subsidiary  (4323),400103,ARIZONA
269,Arizona Agribusiness & Equine Center Inc. (4331),400106,ARIZONA
270,International Commerce Secondary Schools Inc. (4334),400107,ARIZONA
271,Humanities and Sciences Academy of the United Stat (4337),400108,ARIZONA
272,Phoenix Advantage Charter School Inc. (4338),400109,ARIZONA
273,Allen-Cochran Enterprises Inc. (4347),400111,ARIZONA
274,American Leadership Academy Inc. (4348),400112,ARIZONA
275,Fountain Hills Charter School (4356),400113,ARIZONA
276,Hermosa Montessori Charter School (4426),400115,ARIZONA
277,Arizona Department of Corrections (8336),400120,ARIZONA
278,Accelerated Learning Center Inc. (4297),400121,ARIZONA
279,Acclaim Charter School (4325),400122,ARIZONA
280,Genesis Program Inc. (4332),400124,ARIZONA
281,Montessori Schoolhouse of Tucson Inc. (4428),400126,ARIZONA
282,Accelerated Elementary and Secondary Schools (6364),400129,ARIZONA
283,Edkey Inc. dba American Heritage Academy  (6365),400130,ARIZONA
284,The Charter Foundation Inc. (6355),400131,ARIZONA
285,BASIS Charter Schools Inc. (6361),400134,ARIZONA
286,Challenge School Inc. (6362),400135,ARIZONA
287,Discovery Plus Academy (6357),400141,ARIZONA
288,CPLC Community Schools (4300),400144,ARIZONA
289,Gem Charter School Inc. (6372),400145,ARIZONA
290,Ha:san Educational Services (6369),400147,ARIZONA
291,Kaizen Education Foundation dba El Dorado High Sch (4342),400149,ARIZONA
292,Mexicayotl Academy Inc. (4463),400150,ARIZONA
293,New Horizon School for the Performing Arts (4366),400151,ARIZONA
294,Phoenix School of Academic Excellence The (6379),400153,ARIZONA
295,Shonto Governing Board of Education Inc. (6353),400154,ARIZONA
296,Edkey Inc. - Sequoia Choice Schools (4329),400157,ARIZONA
297,Tucson Preparatory School (6374),400159,ARIZONA
298,Vision Charter School Inc. (4430),400160,ARIZONA
299,Coconino County Accommodation School District (10386),400163,ARIZONA
300,Keystone Montessori Charter School Inc. (10878),400165,ARIZONA
301,Greenlee Alternative School District (4226),400178,ARIZONA
302,Benchmark School Inc. (10972),400181,ARIZONA
303,Cambridge Academy  East  Inc (78888),400182,ARIZONA
304,Ball Charter Schools (Dobson) (79204),400184,ARIZONA
305,Pioneer Technology & Arts Academy of Arizona (4340),400185,ARIZONA
306,Stepping Stones Academy (10966),400187,ARIZONA
307,Liberty Traditional Charter School (10968),400190,ARIZONA
308,Fit Kids Inc. dba Champion Schools (78783),400191,ARIZONA
309,Northern Arizona Vocational Institute of Technolog (78786),400197,ARIZONA
310,Pima County (4420),400201,ARIZONA
311,Academy of Tucson Inc. (78897),400202,ARIZONA
312,Mountain Rose Academy Inc. (10879),400204,ARIZONA
313,Great Expectations Academy (10974),400205,ARIZONA
314,Mountain Oak Charter School Inc. (78873),400208,ARIZONA
315,Park View School Inc. (10970),400209,ARIZONA
316,Painted Pony Ranch Charter School (10967),400210,ARIZONA
317,Mary Ellen Halvorson Educational Foundation. dba:  (10965),400211,ARIZONA
318,Benson Unified School District (79226),400212,ARIZONA
319,Painted Desert Demonstration Projects Inc. (79086),400213,ARIZONA
320,Little Lamb Community School (79050),400217,ARIZONA
321,American Basic Schools LLC (79215),400218,ARIZONA
322,Career Success Schools (79047),400219,ARIZONA
323,Kaizen Education Foundation dba South Pointe Eleme (79233),400221,ARIZONA
324,Daisy Education Corporation dba Sonoran Science Ac (79049),400223,ARIZONA
325,Horizon Community Learning Center Inc. (79264),400225,ARIZONA
326,Kaizen Education Foundation dba South Pointe Junio (78965),400227,ARIZONA
327,Milestones Charter School (79207),400229,ARIZONA
328,Pathfinder Charter School Foundation (79024),400230,ARIZONA
329,James Madison Preparatory School (79063),400231,ARIZONA
330,Self Development Charter School (79072),400232,ARIZONA
331,Excalibur Charter Schools Inc. (79214),400235,ARIZONA
332,Paramount Education Studies Inc (79205),400237,ARIZONA
333,Metropolitan Arts Institute Inc. (5181),400238,ARIZONA
334,P.L.C. Charter Schools (6235),400239,ARIZONA
335,Paragon Management Inc. (5180),400241,ARIZONA
336,Skyline Schools Inc. (79084),400243,ARIZONA
337,Edkey Inc. dba Sequoia Charter School (6446),400244,ARIZONA
338,Edkey Inc. - Sequoia Village School (79211),400246,ARIZONA
339,Telesis Center for Learning Inc. (79218),400248,ARIZONA
340,Southern Arizona Community Academy Inc. (79000),400254,ARIZONA
341,Tucson Country Day School Inc. (79073),400255,ARIZONA
342,Carden of Tucson Inc. (78858),400258,ARIZONA
343,Southgate Academy Inc. (79085),400259,ARIZONA
344,Eastpointe High School Inc. (78833),400261,ARIZONA
345,Patagonia Montessori Elementary School (79069),400263,ARIZONA
346,Santa Cruz Valley Opportunities in Education Inc. (79066),400264,ARIZONA
347,PACE Preparatory Academy Inc. (79068),400266,ARIZONA
348,Kestrel Schools Inc. (79065),400267,ARIZONA
349,Juniper Tree Academy (79064),400268,ARIZONA
350,GAR LLC dba Student Choice High School (78997),400273,ARIZONA
351,AIBT Non-Profit Charter High School - Phoenix (79053),400274,ARIZONA
352,Highland Free School (79061),400275,ARIZONA
353,Academy with Community Partners-Arizona Inc (79213),400276,ARIZONA
354,Deer Valley Charter Schools Inc. (79496),400278,ARIZONA
355,West Gilbert Charter Elementary School Inc. (79497),400279,ARIZONA
356,Mohave Accelerated Learning Center (79498),400280,ARIZONA
357,Masada Charter School Inc. (79499),400281,ARIZONA
358,Harvest Power Community Development Group Inc. (79501),400282,ARIZONA
359,Omega Alpha Academy (79503),400284,ARIZONA
360,Premier Charter High School (79569),400288,ARIZONA
361,Pan-American Elementary Charter (79578),400290,ARIZONA
362,Kingman Unified School District (79598),400295,ARIZONA
363,North Star Charter School Inc. (79701),400303,ARIZONA
364,Calibre Academy (79055),400310,ARIZONA
365,ThrivePoint High School Inc. (79059),400311,ARIZONA
366,Yavapai Accommodation School District (79379),400315,ARIZONA
367,Cobre Valley Institute of Technology District (79391),400316,ARIZONA
368,Khalsa Family Services (79420),400317,ARIZONA
369,Aprender Tucson (79426),400318,ARIZONA
370,Acorn Montessori Charter School (79437),400320,ARIZONA
371,Pinnacle Education-WMCB Inc. (79439),400321,ARIZONA
372,Desert Rose AcademyInc. (79441),400322,ARIZONA
373,Crown Charter School Inc (79443),400323,ARIZONA
374,Success School (79453),400326,ARIZONA
375,Pointe Schools (79455),400327,ARIZONA
376,American Virtual Academy (79461),400329,ARIZONA
377,Compass High School Inc. (79467),400330,ARIZONA
378,James Sandoval Preparatory High School (79475),400332,ARIZONA
379,Destiny School Inc. (6258),400339,ARIZONA
380,Noah Webster Schools - Mesa (10760),400340,ARIZONA
381,Valley Academy for Career and Technology Education (79397),400341,ARIZONA
382,Griffin Foundation Inc. The (79500),400343,ARIZONA
383,Cochise Technology District (79403),400345,ARIZONA
384,Coconino Association for Vocation Industry and Tec (79381),400347,ARIZONA
385,Central Arizona Valley Institute of Technology (79385),400348,ARIZONA
386,Gila Institute for Technology (79387),400349,ARIZONA
387,PEAK School Inc. The (79866),400350,ARIZONA
388,Kaizen Education Foundation dba Vista Grove Prepar (79871),400351,ARIZONA
389,American Charter Schools Foundation d.b.a. Estrell (79873),400352,ARIZONA
390,American Charter Schools Foundation d.b.a. Peoria  (79875),400353,ARIZONA
391,American Charter Schools Foundation d.b.a. Sun Val (79877),400354,ARIZONA
392,American Charter Schools Foundation d.b.a. West Ph (79879),400355,ARIZONA
393,Nosotros Inc (79881),400356,ARIZONA
394,American Charter Schools Foundation d.b.a. Apache  (79883),400357,ARIZONA
395,Challenger Basic School Inc. (79886),400359,ARIZONA
396,Arizona Community Development Corporation (79947),400361,ARIZONA
397,SC Jensen Corporation Inc. dba Intelli-School (79951),400363,ARIZONA
398,PAS Charter Inc. dba Intelli-School (79953),400364,ARIZONA
399,Valley of the Sun Waldorf Education Association d (79957),400366,ARIZONA
400,Pima Prevention Partnership dba Pima Partnership S (79959),400367,ARIZONA
401,Academy of Mathematics and Science Inc. (79961),400368,ARIZONA
402,Midtown Primary School (79994),400370,ARIZONA
403,Tucson International Academy Inc. (79979),400373,ARIZONA
404,Bell Canyon Charter School Inc (79983),400374,ARIZONA
405,Cortez Park Charter Middle School Inc. (79988),400376,ARIZONA
406,West Gilbert Charter Middle School Inc. (79990),400377,ARIZONA
407,Carpe Diem Collegiate High School (80001),400381,ARIZONA
408,CPLC Community Schools dba Toltecalli High School (80032),400382,ARIZONA
409,American Charter Schools Foundation d.b.a. Desert  (79872),400384,ARIZONA
410,American Charter Schools Foundation d.b.a. Crestvi (79874),400385,ARIZONA
411,Kaizen Education Foundation dba Summit High School (79876),400386,ARIZONA
412,Kaizen Education Foundation dba Tempe Accelerated  (79878),400387,ARIZONA
413,Kaizen Education Foundation dba Skyview High Schoo (79880),400388,ARIZONA
414,Kaizen Education Foundation dba Maya High School (79882),400389,ARIZONA
415,Camelback Education Inc (79905),400390,ARIZONA
416,Vista Charter School (79907),400391,ARIZONA
417,Avondale Learning dba Precision Academy (79929),400394,ARIZONA
418,LEAD Charter Schools (79967),400395,ARIZONA
419,All Aboard Charter School (79969),400396,ARIZONA
420,CAFA Inc. dba Learning Foundation Performing Arts (79971),400397,ARIZONA
421,Montessori Academy Inc. (80011),400399,ARIZONA
422,New World Educational Center (78882),400401,ARIZONA
423,Cholla Academy (5186),400402,ARIZONA
424,Akimel O Otham Pee Posh Charter School Inc. (5978),400403,ARIZONA
425,Akimel O'Otham Pee Posh Charter School Inc. (78966),400404,ARIZONA
426,Cornerstone Charter SchoolInc (79077),400405,ARIZONA
427,Happy Valley School Inc. (79081),400406,ARIZONA
428,CITY Center for Collaborative Learning (85448),400407,ARIZONA
429,Satori Inc. (85454),400409,ARIZONA
430,Mohave Accelerated Elementary School Inc. (85516),400413,ARIZONA
431,Academy of Building Industries Inc. (85540),400414,ARIZONA
432,Edkey Inc. (85749),400415,ARIZONA
433,StarShine Academy (85807),400416,ARIZONA
434,Arizona Agribusiness & Equine Center Inc. (85816),400417,ARIZONA
435,Gila County Regional School District (87600),400419,ARIZONA
436,Pillar Charter School (87334),400420,ARIZONA
437,Legacy Education Group (87349),400423,ARIZONA
438,Rosefield Charter Elementary School Inc. (87399),400424,ARIZONA
439,East Mesa Charter Elementary School Inc. (87401),400425,ARIZONA
440,Arizona Connections Academy Charter School Inc. (87407),400427,ARIZONA
441,Country Gardens Charter Schools (79074),400429,ARIZONA
