,LEA_NAME,LEAID,STATENAME
5145,Maine Township HSD 207,1724090,ILLINOIS
5146,Malden CCSD 84,1724120,ILLINOIS
5147,Manhattan SD 114,1724270,ILLINOIS
5148,Mannheim SD 83,1724330,ILLINOIS
5149,Manteno CUSD 5,1724390,ILLINOIS
5150,Northbrook/Glenview SD 30,1724420,ILLINOIS
5151,Kaneland CUSD 302,1724480,ILLINOIS
5152,Marengo CHSD 154,1724570,ILLINOIS
5153,Marion CUSD 2,1724600,ILLINOIS
5154,Marissa CUSD 40,1724650,ILLINOIS
5155,Prairie-Hills ESD 144,1724720,ILLINOIS
5156,Maroa Forsyth CUSD 2,1724750,ILLINOIS
5157,Marquardt SD 15,1724780,ILLINOIS
5158,Marshall CUSD 2C,1724870,ILLINOIS
5159,Martinsville CUSD 3C,1724900,ILLINOIS
5160,Mascoutah CUD 19,1724940,ILLINOIS
5161,Massac UD 1,1725000,ILLINOIS
5162,Matteson ESD 162,1725020,ILLINOIS
5163,Mattoon CUSD 2,1725050,ILLINOIS
5164,Maywood-Melrose Park-Broadview 89,1725110,ILLINOIS
5165,Mazon-Verona-Kinsman ESD 2C,1725190,ILLINOIS
5166,McClellan CCSD 12,1725260,ILLINOIS
5167,McHenry CCSD 15,1725290,ILLINOIS
5168,McHenry CHSD 156,1725320,ILLINOIS
5169,Medinah SD 11,1725500,ILLINOIS
5170,CUSD 4,1725590,ILLINOIS
5171,Mendota CCSD 289,1725620,ILLINOIS
5172,Mendota Twp HSD 280,1725650,ILLINOIS
5173,Meredosia-Chambersburg CUSD 11,1725680,ILLINOIS
5174,Meridian CUSD 223,1725690,ILLINOIS
5175,Metamora CCSD 1,1725740,ILLINOIS
5176,County of Woodford School,1725770,ILLINOIS
5177,Midlothian SD 143,1725920,ILLINOIS
5178,Millburn CCSD 24,1726100,ILLINOIS
5179,Fairfield Comm H S Dist 225,1726180,ILLINOIS
5180,Millstadt CCSD 160,1726190,ILLINOIS
5181,Miller Twp CCSD 210,1726250,ILLINOIS
5182,Minooka CCSD 201,1726310,ILLINOIS
5183,Minooka CHSD 111,1726340,ILLINOIS
5184,Mokena SD 159,1726370,ILLINOIS
5185,Moline-Coal Valley CUSD 40,1726400,ILLINOIS
5186,Momence CUSD 1,1726430,ILLINOIS
5187,Monroe SD 70,1726490,ILLINOIS
5188,Monticello CUSD 25,1726550,ILLINOIS
5189,Montmorency CCSD 145,1726590,ILLINOIS
5190,Morris SD 54,1726610,ILLINOIS
5191,Morris CHSD 101,1726640,ILLINOIS
5192,Morrison CUSD 6,1726710,ILLINOIS
5193,Morrisonville CUSD 1,1726760,ILLINOIS
5194,Morton CUSD 709,1726800,ILLINOIS
5195,Golf ESD 67,1726820,ILLINOIS
5196,Morton Grove SD 70,1726850,ILLINOIS
5197,J S Morton HSD 201,1726880,ILLINOIS
5198,Meridian CUSD 101,1726970,ILLINOIS
5199,Mount Olive CUSD 5,1727180,ILLINOIS
5200,Mount Prospect SD 57,1727210,ILLINOIS
5201,Mt Pulaski CUSD 23,1727290,ILLINOIS
5202,Brown County CUSD 1,1727300,ILLINOIS
5203,Mount Vernon SD 80,1727340,ILLINOIS
5204,Mt Vernon Twp HSD 201,1727360,ILLINOIS
5205,Mt Zion CUSD 3,1727390,ILLINOIS
5206,Mulberry Grove CUSD 1,1727450,ILLINOIS
5207,Mundelein ESD 75,1727540,ILLINOIS
5208,Mundelein Cons HSD 120,1727570,ILLINOIS
5209,Murphysboro CUSD 186,1727610,ILLINOIS
5210,Naperville CUSD 203,1727710,ILLINOIS
5211,Nashville CCSD 49,1727720,ILLINOIS
5212,Nashville CHSD 99,1727740,ILLINOIS
5213,Nauvoo-Colusa CUSD 325,1727780,ILLINOIS
5214,Neoga CUSD 3,1727840,ILLINOIS
5215,Nettle Creek CCSD 24C,1727930,ILLINOIS
5216,New Athens CUSD 60,1727960,ILLINOIS
5217,New Berlin CUSD 16,1727990,ILLINOIS
5218,New Hope CCSD 6,1728110,ILLINOIS
5219,New Lenox SD 122,1728140,ILLINOIS
5220,New Simpson Hill SD 32,1728160,ILLINOIS
5221,New Trier Twp HSD 203,1728200,ILLINOIS
5222,Newark CHSD 18,1728260,ILLINOIS
5223,Newark CCSD 66,1728270,ILLINOIS
5224,Niles ESD 71,1728500,ILLINOIS
5225,Niles Twp HSD 219,1728530,ILLINOIS
5226,Nokomis CUSD 22,1728560,ILLINOIS
5227,McLean County USD 5,1728620,ILLINOIS
5228,Norridge SD 80,1728650,ILLINOIS
5229,North Boone CUSD 200,1728700,ILLINOIS
5230,North Clay CUSD 25,1728810,ILLINOIS
5231,North Palos SD 117,1728890,ILLINOIS
5232,N Pekin & Marquette Hght SD 102,1728920,ILLINOIS
5233,Northbrook SD 28,1728980,ILLINOIS
5234,Glenbrook HSD 225,1729010,ILLINOIS
5235,Northwestern Illinois Assn,1729020,ILLINOIS
5236,Norwood ESD 63,1729040,ILLINOIS
5237,Oak Grove SD 68  Bartonville,1729100,ILLINOIS
5238,Oak Grove SD 68 Green Oaks,1729130,ILLINOIS
5239,Oak Lawn-Hometown SD 123,1729190,ILLINOIS
5240,Oak Lawn CHSD 229,1729220,ILLINOIS
5241,Oak Park ESD 97,1729250,ILLINOIS
5242,Oak Park - River Forest SD 200,1729280,ILLINOIS
5243,Oakdale CCSD 1,1729310,ILLINOIS
5244,Oakland CUSD 5,1729340,ILLINOIS
5245,Oblong CUSD 4,1729420,ILLINOIS
5246,Odell CCSD 435,1729520,ILLINOIS
5247,Oglesby ESD 125,1729670,ILLINOIS
5248,Ohio CCSD 17,1729700,ILLINOIS
5249,Ohio CHSD 505,1729730,ILLINOIS
5250,O Fallon CCSD 90,1729760,ILLINOIS
5251,O Fallon Twp HSD 203,1729790,ILLINOIS
5252,Olympia CUSD 16,1729890,ILLINOIS
5253,R O W V A CUSD 208,1729940,ILLINOIS
5254,Orangeville CUSD 203,1730060,ILLINOIS
5255,Oregon CUSD 220,1730160,ILLINOIS
5256,Orion CUSD 223,1730200,ILLINOIS
5257,Orland SD 135,1730220,ILLINOIS
5258,CUSD 308,1730270,ILLINOIS
5259,Ottawa ESD 141,1730300,ILLINOIS
5260,Ottawa Twp HSD 140,1730330,ILLINOIS
5261,Palatine CCSD 15,1730420,ILLINOIS
5262,Township HSD 211,1730450,ILLINOIS
5263,Palestine CUSD 3,1730480,ILLINOIS
5264,CCSD 180,1730510,ILLINOIS
5265,Northwestern CUSD 2,1730540,ILLINOIS
5266,Palos Heights SD 128,1730570,ILLINOIS
5267,Palos CCSD 118,1730600,ILLINOIS
5268,Pana CUSD 8,1730630,ILLINOIS
5269,Panhandle CUSD 2,1730660,ILLINOIS
5270,Paris-Union SD 95,1730750,ILLINOIS
5271,Paris CUSD 4,1730780,ILLINOIS
5272,Park Forest SD 163,1730810,ILLINOIS
5273,Park Ridge CCSD 64,1730840,ILLINOIS
5274,Patoka CUSD 100,1730870,ILLINOIS
5275,Gen George Patton SD 133,1730900,ILLINOIS
5276,Pawnee CUSD 11,1730930,ILLINOIS
5277,Payson CUSD 1,1730990,ILLINOIS
5278,Pearl City CUSD 200,1731020,ILLINOIS
5279,Pecatonica CUSD 321,1731050,ILLINOIS
5280,Pekin PSD 108,1731080,ILLINOIS
5281,Pekin CSD 303,1731110,ILLINOIS
5282,Pembroke CCSD 259,1731140,ILLINOIS
5283,Pennoyer SD 79,1731200,ILLINOIS
5284,Peoria SD 150,1731230,ILLINOIS
5285,Peoria Heights CUSD 325,1731270,ILLINOIS
5286,Peotone CUSD 207U,1731290,ILLINOIS
5287,Perandoe Spec Educ District,1731310,ILLINOIS
5288,Peru ESD 124,1731380,ILLINOIS
5289,Porta CUSD 202,1731410,ILLINOIS
5290,Southwestern CUSD 9,1731500,ILLINOIS
5291,CCSD 204,1731560,ILLINOIS
5292,Pinckneyville CHSD 101,1731620,ILLINOIS
5293,Pikeland CUSD 10,1731710,ILLINOIS
5294,Plainfield SD 202,1731740,ILLINOIS
5295,Plano CUSD 88,1731770,ILLINOIS
5296,Pleasant Hill SD 69,1731860,ILLINOIS
5297,Pleasant Hill CUSD 3,1731890,ILLINOIS
5298,Pleasant Plains CUSD 8,1731920,ILLINOIS
5299,Pleasant Valley SD 62,1731950,ILLINOIS
5300,Pleasantdale SD 107,1732040,ILLINOIS
5301,Potomac CUSD 10,1732090,ILLINOIS
5302,Polo CUSD 222,1732100,ILLINOIS
5303,Pontiac CCSD 429,1732160,ILLINOIS
5304,Pontiac-W Holliday SD 105,1732190,ILLINOIS
5305,Pontiac Twp HSD 90,1732220,ILLINOIS
5306,Pope Co CUD 1,1732280,ILLINOIS
5307,Posen-Robbins ESD 143-5,1732370,ILLINOIS
5308,Prairie Du Rocher CCSD 134,1732490,ILLINOIS
5309,Prairie Grove CSD 46,1732520,ILLINOIS
5310,Prairie Hill CCSD 133,1732550,ILLINOIS
5311,Adlai E Stevenson HSD 125,1732580,ILLINOIS
5312,Princeton ESD 115,1732670,ILLINOIS
5313,Princeton HSD 500,1732700,ILLINOIS
5314,Princeville CUSD 326,1732770,ILLINOIS
5315,Prophetstown-Lyndon-Tampico CUSD3,1732830,ILLINOIS
5316,Prospect Heights SD 23,1732850,ILLINOIS
5317,Proviso Twp HSD 209,1732910,ILLINOIS
5318,Putnam County CUSD 535,1732960,ILLINOIS
5319,Queen Bee SD 16,1732970,ILLINOIS
5320,Quincy SD 172,1733000,ILLINOIS
5321,Raccoon Cons SD 1,1733030,ILLINOIS
5322,Ramsey CUSD 204,1733090,ILLINOIS
5323,Rankin CSD 98,1733120,ILLINOIS
5324,Rantoul City SD 137,1733210,ILLINOIS
5325,Rantoul Township HSD 193,1733240,ILLINOIS
5326,Reavis Twp HSD 220,1733270,ILLINOIS
5327,Red Bud CUSD 132,1733300,ILLINOIS
5328,Reed Custer CUSD 255U,1733380,ILLINOIS
5329,Rhodes SD 84-5,1733390,ILLINOIS
5330,Rich Twp HSD 227,1733420,ILLINOIS
5331,Richland GSD 88A,1733450,ILLINOIS
5332,Richmond-Burton CHSD 157,1733510,ILLINOIS
5333,Ridgeland SD 122,1733690,ILLINOIS
5334,Ridgewood CHSD 234,1733720,ILLINOIS
5335,Riley CCSD 18,1733750,ILLINOIS
5336,River Forest SD 90,1733810,ILLINOIS
5337,River Grove SD 85-5,1733840,ILLINOIS
5338,River Trails SD 26,1733870,ILLINOIS
5339,Riverdale CUSD 100,1733930,ILLINOIS
5340,River Bend CUSD 2,1733950,ILLINOIS
5341,Riverside SD 96,1733990,ILLINOIS
5342,Riverside-Brookfield Twp SD 208,1734020,ILLINOIS
5343,Riverton CUSD 14,1734100,ILLINOIS
5344,Riverview CCSD 2,1734110,ILLINOIS
5345,Roanoke Benson CUSD 60,1734140,ILLINOIS
5346,Robein SD 85,1734170,ILLINOIS
5347,Robinson CUSD 2,1734230,ILLINOIS
5348,Rochelle CCSD 231,1734260,ILLINOIS
5349,Rochelle Twp HSD 212,1734290,ILLINOIS
5350,Rochester CUSD 3A,1734320,ILLINOIS
5351,Rock Falls ESD 13,1734350,ILLINOIS
5352,Rock Falls Twp HSD 301,1734380,ILLINOIS
5353,Rock Island SD 41,1734410,ILLINOIS
5354,Rockridge CUSD 300,1734440,ILLINOIS
5355,Rockdale SD 84,1734470,ILLINOIS
5356,Rockford SD 205,1734510,ILLINOIS
5357,Rockton SD 140,1734540,ILLINOIS
5358,Rome CCSD 2,1734590,ILLINOIS
5359,Rondout SD 72,1734620,ILLINOIS
5360,Rooks Creek CCSD 425,1734650,ILLINOIS
5361,Roselle SD 12,1734710,ILLINOIS
5362,Schaumburg CCSD 54,1734740,ILLINOIS
5363,Rosemont ESD 78,1734770,ILLINOIS
5364,Rossville-Alvin CUSD 7,1734870,ILLINOIS
5365,Round Lake CUSD 116,1734990,ILLINOIS
5366,Roxana CUSD 1,1735010,ILLINOIS
5367,Rutland CCSD 230,1735100,ILLINOIS
5368,Salem SD 111,1735160,ILLINOIS
5369,Salem CHSD 600,1735190,ILLINOIS
5370,Salt Creek SD 48,1735220,ILLINOIS
5371,Sandoval CUSD 501,1735310,ILLINOIS
5372,Sandridge SD 172,1735340,ILLINOIS
5373,Sandwich CUSD 430,1735370,ILLINOIS
5374,Saratoga CCSD 60C,1735400,ILLINOIS
5375,CCSD 168,1735460,ILLINOIS
5376,Scales Mound CUSD 211,1735610,ILLINOIS
5377,Schiller Park SD 81,1735640,ILLINOIS
5378,Selmaville CCSD 10,1735770,ILLINOIS
5379,Seneca CCSD 170,1735820,ILLINOIS
5380,Seneca Twp HSD 160,1735850,ILLINOIS
5381,Sesser-Valier CUSD 196,1735940,ILLINOIS
5382,Indian Creek CUSD 425,1735970,ILLINOIS
5383,Shelbyville CUSD 4,1736090,ILLINOIS
5384,Sherrard CUSD 200,1736180,ILLINOIS
5385,Shiloh Village SD 85,1736210,ILLINOIS
5386,Shirland CCSD 134,1736240,ILLINOIS
5387,ESD 159,1736300,ILLINOIS
5388,Signal Hill SD 181,1736330,ILLINOIS
5389,Silvis SD 34,1736360,ILLINOIS
5390,Skokie SD 68,1736450,ILLINOIS
5391,Skokie SD 69,1736480,ILLINOIS
5392,Smithton CCSD 130,1736510,ILLINOIS
5393,Somonauk CUSD 432,1736570,ILLINOIS
5394,County of Winnebago SD 320,1736600,ILLINOIS
5395,Southeastern CUSD 337,1736610,ILLINOIS
5396,South Fork SD 14,1736640,ILLINOIS
5397,South Holland SD 150,1736720,ILLINOIS
5398,South Holland SD 151,1736750,ILLINOIS
5399,South Pekin SD 137,1736780,ILLINOIS
5400,Burbank SD 111,1736810,ILLINOIS
5401,South Wilmington CCSD 74,1736840,ILLINOIS
5402,Sparta CUSD 140,1736900,ILLINOIS
5403,Spec Educ Assoc of Adams County,1736920,ILLINOIS
5404,Spoon River Valley CUSD 4,1736960,ILLINOIS
5405,Spring Lake CCSD 606,1737020,ILLINOIS
5406,Spring Valley CCSD 99,1737050,ILLINOIS
5407,Springfield SD 186,1737080,ILLINOIS
5408,St Anne CCSD 256,1737120,ILLINOIS
5409,St Anne CHSD 302,1737140,ILLINOIS
5410,St Charles CUSD 303,1737170,ILLINOIS
5411,St Elmo CUSD 202,1737230,ILLINOIS
5412,St George CCSD 258,1737320,ILLINOIS
5413,Triad CUSD 2,1737350,ILLINOIS
5414,St Joseph CCSD 169,1737380,ILLINOIS
5415,St Joseph Ogden CHSD 305,1737410,ILLINOIS
5416,St Libory Cons SD 30,1737440,ILLINOIS
5417,St Rose SD 14-15,1737470,ILLINOIS
5418,Stark County CUSD 100,1737490,ILLINOIS
5419,Staunton CUSD 6,1737590,ILLINOIS
5420,Steeleville CUSD 138,1737650,ILLINOIS
5421,Steger SD 194,1737680,ILLINOIS
5422,Steward ESD 220,1737800,ILLINOIS
5423,Stewardson-Strasburg CUD 5A,1737830,ILLINOIS
5424,Central Stickney SD 110,1737860,ILLINOIS
5425,Stockton CUSD 206,1737980,ILLINOIS
5426,Woodland CUSD 5,1738070,ILLINOIS
5427,Streator Twp HSD 40,1738100,ILLINOIS
5428,Sullivan CUSD 300,1738130,ILLINOIS
5429,Summersville SD 79,1738190,ILLINOIS
5430,Summit Hill SD 161,1738220,ILLINOIS
5431,Sunnybrook SD 171,1738370,ILLINOIS
5432,Sunset Ridge SD 29,1738400,ILLINOIS
5433,Sycamore CUSD 427,1738460,ILLINOIS
5434,V I T CUSD 2,1738490,ILLINOIS
5435,Taft SD 90,1738520,ILLINOIS
5436,Tamaroa School Dist 5,1738550,ILLINOIS
5437,Taylorville CUSD 3,1738700,ILLINOIS
5438,Teutopolis CUSD 50,1738760,ILLINOIS
5439,Thomasboro CCSD 130,1738790,ILLINOIS
5440,Thornton SD 154,1738910,ILLINOIS
5441,Thornton Fractional Twp HSD 215,1738940,ILLINOIS
5442,Thornton Twp HSD 205,1738970,ILLINOIS
5443,CCSD 146,1739030,ILLINOIS
5444,Cumberland CUSD 77,1739090,ILLINOIS
5445,Tolono CUSD 7,1739120,ILLINOIS
5446,Tonica CCSD 79,1739180,ILLINOIS
5447,Tremont CUSD 702,1739390,ILLINOIS
5448,Wesclin CUSD 3,1739420,ILLINOIS
5449,Tri City CUSD 1,1739450,ILLINOIS
5450,Tri-County Spec Educ Assoc,1739460,ILLINOIS
5451,Tri Point CUSD 6-J,1739480,ILLINOIS
5452,Troy CCSD 30C,1739510,ILLINOIS
5453,Tuscola CUSD 301,1739600,ILLINOIS
5454,Century CUSD 100,1739630,ILLINOIS
5455,Union SD 81,1739660,ILLINOIS
5456,Union Ridge SD 86,1739780,ILLINOIS
5457,United Twp HSD 30,1739870,ILLINOIS
5458,Unity Point CCSD 140,1739930,ILLINOIS
5459,Urbana SD 116,1739960,ILLINOIS
5460,Valley View CUSD 365U,1740070,ILLINOIS
5461,Valmeyer CUSD 3,1740080,ILLINOIS
5462,Vandalia CUSD 203,1740140,ILLINOIS
5463,Venice CUSD 3,1740200,ILLINOIS
5464,Vermilion Assoc for Spec Educ,1740220,ILLINOIS
5465,Vienna SD 55,1740260,ILLINOIS
5466,Vienna HSD 133,1740290,ILLINOIS
5467,Villa Grove CUSD 302,1740320,ILLINOIS
5468,SD 45 DuPage County,1740350,ILLINOIS
5469,Virginia CUSD 64,1740410,ILLINOIS
5470,CHSD 94,1740440,ILLINOIS
5471,Wabash CUSD 348,1740470,ILLINOIS
5472,Wabash & Ohio Valley Sp Ed Dist,1740480,ILLINOIS
5473,CCSD 89,1740500,ILLINOIS
5474,Wallace CCSD 195,1740530,ILLINOIS
5475,Waltham CCSD 185,1740620,ILLINOIS
5476,Waltonville CUSD 1,1740650,ILLINOIS
5477,North Wamac SD 186,1740680,ILLINOIS
5478,Warren CUSD 205,1740740,ILLINOIS
5479,Warren Twp HSD 121,1740800,ILLINOIS
5480,Warrensburg-Latham CUSD 11,1740830,ILLINOIS
5481,Warsaw CUSD 316,1740890,ILLINOIS
5482,Lowpoint-Washburn CUSD 21,1740920,ILLINOIS
5483,Washington CHSD 308,1740980,ILLINOIS
5484,District 50 Schools,1741010,ILLINOIS
5485,Washington SD 52,1741040,ILLINOIS
5486,Waterloo CUSD 5,1741070,ILLINOIS
5487,Wauconda CUSD 118,1741190,ILLINOIS
5488,Waukegan CUSD 60,1741250,ILLINOIS
5489,Waverly CUSD 6,1741280,ILLINOIS
5490,Wayne City CUSD 100,1741360,ILLINOIS
5491,Calumet City SD 155,1741520,ILLINOIS
5492,West Chicago ESD 33,1741550,ILLINOIS
5493,Frankfort CUSD 168,1741580,ILLINOIS
5494,West Lincoln-Broadwell ESD 92,1741600,ILLINOIS
5495,Indian Prairie CUSD 204,1741690,ILLINOIS
5496,West Northfield SD 31,1741700,ILLINOIS
5497,West Washington Co CUD 10,1741750,ILLINOIS
5498,Westchester SD 92-5,1741790,ILLINOIS
5499,Western Springs SD 101,1741820,ILLINOIS
5500,CUSD 201,1741980,ILLINOIS
5501,Wethersfield CUSD 230,1742060,ILLINOIS
5502,CUSD 200,1742180,ILLINOIS
5503,Wheeling CCSD 21,1742210,ILLINOIS
5504,North Greene CUSD 3,1742240,ILLINOIS
5505,Whiteside SD 115,1742300,ILLINOIS
5506,Sterling CUSD 5,1742310,ILLINOIS
5507,Williamsfield CUSD 210,1742450,ILLINOIS
5508,Williamsville CUSD 15,1742480,ILLINOIS
5509,Willow Grove SD 46,1742510,ILLINOIS
5510,Willow Springs SD 108,1742570,ILLINOIS
5511,Wilmette SD 39,1742600,ILLINOIS
5512,Wilmington CUSD 209U,1742630,ILLINOIS
5513,Winchester CUSD 1,1742660,ILLINOIS
5514,Windsor CUSD 1,1742690,ILLINOIS
5515,Winfield SD 34,1742720,ILLINOIS
5516,Winnebago CUSD 323,1742790,ILLINOIS
5517,Winnebago County Spec Educ Coop,1742810,ILLINOIS
5518,Winnetka SD 36,1742840,ILLINOIS
5519,Winthrop Harbor SD 1,1742900,ILLINOIS
5520,Wolf Branch SD 113,1742960,ILLINOIS
5521,Shawnee CUSD 84,1742990,ILLINOIS
5522,Wood Dale SD 7,1743020,ILLINOIS
5523,Wood River-Hartford ESD 15,1743050,ILLINOIS
5524,Woodland CCSD 50,1743110,ILLINOIS
5525,Woodstock CUSD 200,1743330,ILLINOIS
5526,Worth SD 127,1743380,ILLINOIS
5527,Zeigler-Royalton CUSD 188,1743800,ILLINOIS
5528,Zion ESD 6,1743860,ILLINOIS
5529,Zion-Benton Twp HSD 126,1743890,ILLINOIS
5530,Yorkville CUSD 115,1743960,ILLINOIS
5531,Midwest Central CUSD 191,1743962,ILLINOIS
5532,Belleville Area Special Services,1743963,ILLINOIS
5533,Exc Children Have Opportunities,1743965,ILLINOIS
5534,Indiana Department of Correction,1800006,INDIANA
5535,Greene-Sullivan Sp Ed Coop,1800007,INDIANA
5536,White River Valley School District,1800008,INDIANA
5537,Blue River Career Programs,1800009,INDIANA
5538,Greater Randolph Interlocal Coop,1800010,INDIANA
5539,Community Montessori Inc,1800011,INDIANA
5540,Timothy L Johnson Academy,1800013,INDIANA
5541,Irvington Community School,1800014,INDIANA
5542,Options Charter Schools,1800016,INDIANA
5543,Christel House Academy South,1800018,INDIANA
5544,West Central Education Service Ctr,1800020,INDIANA
5545,Signature School Inc,1800021,INDIANA
5546,IN Sch for the Blind & Vis Imprd,1800023,INDIANA
5547,Indiana School For The Deaf,1800024,INDIANA
5548,Thea Bowman Leadership Academy,1800025,INDIANA
5549,Charter School of the Dunes,1800027,INDIANA
5550,KIPP Indy College Prep Middle,1800028,INDIANA
5551,MSD Southwest Allen County Schls,1800030,INDIANA
5552,SE Neighborhood Sch of Excellence,1800033,INDIANA
5553,Area 30 Career Center Edu Inter,1800034,INDIANA
5554,Lost River Career Cooperative,1800036,INDIANA
5555,Joshua Academy,1800037,INDIANA
5556,Burris Laboratory School,1800038,INDIANA
5557,Northern IN Education Center,1800040,INDIANA
5558,Indiana Academy for Sci Math Hmn,1800041,INDIANA
5559,Andrew J Brown Academy,1800042,INDIANA
5560,Rural Community Schools Inc,1800043,INDIANA
5561,Charles A Tindley Accelerated Sch,1800045,INDIANA
5562,21st Century Charter Sch of Gary,1800046,INDIANA
5563,East Chicago Urban Enterprise Academy,1800048,INDIANA
5564,Southern IN Education Center,1800050,INDIANA
5565,Victory College Prep,1800051,INDIANA
5566,Gary Lighthouse Charter School,1800052,INDIANA
5567,East Chicago Lighthouse Charter,1800054,INDIANA
5568,Avondale Meadows Academy,1800057,INDIANA
5569,Herron Charter,1800058,INDIANA
5570,Adams Central Community Schools,1800060,INDIANA
5571,Geist Montessori Academy,1800061,INDIANA
5572,Indianapolis Metropolitan High Sch,1800064,INDIANA
5573,Renaissance Academy Charter School,1800065,INDIANA
5574,IN Math & Science Academy,1800067,INDIANA
5575,East Central Education Service Ctr,1800070,INDIANA
5576,Aspire Charter Academy,1800071,INDIANA
5577,Anderson Preparatory Academy,1800077,INDIANA
5578,Old National Trail Spec Serv Coop,1800078,INDIANA
5579,Wabash River CTE Center,1800079,INDIANA
5580,Wilson Education Center,1800080,INDIANA
5581,Hammond Academy of Science & Tech,1800082,INDIANA
5582,The Bloomington Project School,1800083,INDIANA
5583,Paramount Brookside,1800086,INDIANA
5584,Discovery Charter School,1800088,INDIANA
5585,Wabash Valley Education Center,1800090,INDIANA
5586,Excel Center for Adult Learners,1800093,INDIANA
5587,IN Math & Science Academy - North,1800094,INDIANA
5588,Indiana Connections Academy,1800098,INDIANA
5589,Rock Creek Community Academy,1800099,INDIANA
5590,Career Academy High School,1800101,INDIANA
5591,Gary Middle College,1800102,INDIANA
5592,Southside Sp Srvs Of Marion Co,1800105,INDIANA
5593,Tri-Township Cons School Corp,1800107,INDIANA
5594,Damar Charter Academy,1800108,INDIANA
5595,Region 8 Education Service Center,1800110,INDIANA
5596,Neighbors' New Vistas High School,1800113,INDIANA
5597,Excel Center - Anderson,1800116,INDIANA
5598,North Central Parke Comm Schl Corp,1800118,INDIANA
5599,Alexandria Community School Corp,1800120,INDIANA
5600,Christel House DORS,1800122,INDIANA
5601,Inspire Academy - A Sch of Inquiry,1800123,INDIANA
5602,Phalen Leadership Academy - IN Inc,1800124,INDIANA
5603,Canaan Community Academy,1800129,INDIANA
5604,Northwest IN Education Center,1800130,INDIANA
5605,Smith Academy for Excellence,1800131,INDIANA
5606,Ripley-Ohio-Dearborn Sp Ed Coop,1800133,INDIANA
5607,Excel Center - Richmond,1800134,INDIANA
5608,Excel Center - Kokomo,1800135,INDIANA
5609,Enlace Academy,1800137,INDIANA
5610,Excel Center - West,1800138,INDIANA
5611,Central IN Education Service Ctr,1800140,INDIANA
5612,Excel Center - Lafayette,1800142,INDIANA
5613,Tindley Genesis Academy,1800145,INDIANA
5614,Vision Academy,1800146,INDIANA
5615,KIPP Indy Unite Elementary,1800147,INDIANA
5616,Tindley Summit Academy,1800148,INDIANA
5617,Christel House Academy West,1800149,INDIANA
5618,Anderson Community School Corp,1800150,INDIANA
5619,Excel Center - University Heights,1800159,INDIANA
5620,Success Academy Primary School,1800161,INDIANA
5621,Excel Center - Noblesville,1800163,INDIANA
5622,Career Academy Middle School,1800164,INDIANA
5623,Dugger Union Community School Corp,1800165,INDIANA
5624,Mays Community Academy,1800168,INDIANA
5625,Excel Center - South Bend,1800169,INDIANA
5626,Global Preparatory Academy,1800170,INDIANA
5627,Steel City Academy,1800171,INDIANA
5628,ACE Preparatory Academy,1800172,INDIANA
5629,Excel Center - Shelbyville,1800175,INDIANA
5630,Seven Oaks Classical School,1800176,INDIANA
5631,Higher Institute of Arts & Tech,1800178,INDIANA
5632,Hoosier College and Career Academy,1800179,INDIANA
5633,Argos Community Schools,1800180,INDIANA
5634,Circle City Prep Charter School,1800181,INDIANA
5635,Excel Center - Clarksville,1800182,INDIANA
5636,Purdue Polytechnic High School Ind,1800183,INDIANA
5637,Avondale Meadows Middle School,1800184,INDIANA
5638,Excel Center - Hammond,1800185,INDIANA
5639,Herron-Riverside High School,1800187,INDIANA
5640,James & Rosemary Phalen Leadership Academy Middle School,1800188,INDIANA
5641,Otwell Miller Academy,1800189,INDIANA
5642,Indiana Connections Career Academy,1800191,INDIANA
5643,Urban ACT Academy,1800192,INDIANA
5644,Vanguard Collegiate of Indy,1800193,INDIANA
5645,Matchbook Learning,1800194,INDIANA
5646,Paramount Cottage Home,1800196,INDIANA
5647,Excel Center - Muncie,1800197,INDIANA
5648,Indiana Agriculture and Technology,1800198,INDIANA
5649,Allegiant Preparatory Academy,1800199,INDIANA
5650,Excel Center - Gary,1800200,INDIANA
5651,pilotED Schools,1800202,INDIANA
5652,Timothy L. Johnson Academy Middle,1800203,INDIANA
5653,PLA at George H Fisher School 93,1800204,INDIANA
5654,Dynamic Minds Academy,1800205,INDIANA
5655,KIPP Indy Legacy High,1800206,INDIANA
5656,Invent Learning Hub,1800207,INDIANA
5657,Paramount Englewood,1800208,INDIANA
5658,Excel Center - Bloomington,1800209,INDIANA
5659,Attica Consolidated School Corp,1800210,INDIANA
5660,Purdue Polytechnic High Sch North,1800211,INDIANA
5661,Borden-Henryville School Corporation,1800212,INDIANA
5662,Silver Creek School Corporation,1800213,INDIANA
5663,Purdue Polytechnic High School South Bend,1800214,INDIANA
5664,James and Rosemary Phalen Leadership Academy High School,1800215,INDIANA
5665,Adelante Schools,1800216,INDIANA
5666,The Hope Academy Inc.,1800217,INDIANA
5667,Phalen Leadership Academy at Francis Scott Key School 103,1800218,INDIANA
5668,GEO Next Generation Academy,1800219,INDIANA
5669,The PATH School,1800220,INDIANA
5670,HIM By HER Collegiate School for the Arts,1800221,INDIANA
5671,Phalen Virtual Leadership Academy,1800222,INDIANA
5672,BELIEVE Circle City High School,1800223,INDIANA
5673,Rooted School Indianapolis,1800224,INDIANA
5674,Phalen Leadership Academy at Louis B Russell School 48,1800225,INDIANA
