school_district,state
"Saint Mary's School District, Alaska",Alaska
"Annette Island School District, Alaska",Alaska
"Fairbanks North Star Borough School District, Alaska",Alaska
"Lower Yukon School District, Alaska",Alaska
"Nenana City School District, Alaska",Alaska
"Southeast Island School District, Alaska",Alaska
"Kuspuk School District, Alaska",Alaska
"Yukon-Koyukuk School District, Alaska",Alaska
"Lake and Peninsula School District, Alaska",Alaska
"Petersburg City School District, Alaska",Alaska
"Aleutian Region School District, Alaska",Alaska
"Northwest Arctic Borough School District, Alaska",Alaska
"Matanuska-Susitna Borough School District, Alaska",Alaska
"Yakutat School District, Alaska",Alaska
"Iditarod Area School District, Alaska",Alaska
"Anchorage School District, Alaska",Alaska
"Bristol Bay Borough School District, Alaska",Alaska
"Sitka School District, Alaska",Alaska
"Hoonah City School District, Alaska",Alaska
"Kashunamiut School District, Alaska",Alaska
"Nome Public Schools, Alaska",Alaska
"North Slope Borough School District, Alaska",Alaska
"Yupiit School District, Alaska",Alaska
"Skagway School District, Alaska",Alaska
"Kenai Peninsula Borough School District, Alaska",Alaska
"Klawock City School District, Alaska",Alaska
"Kodiak Island Borough School District, Alaska",Alaska
"Southwest Region School District, Alaska",Alaska
"Unalaska City School District, Alaska",Alaska
"Valdez City School District, Alaska",Alaska
"Aleutians East Borough School District, Alaska",Alaska
"Hydaburg City School District, Alaska",Alaska
"Pelican City School District, Alaska",Alaska
"Chugach School District, Alaska",Alaska
"Agua Fria Union High School District, Arizona",Arizona
"Aguila Elementary School District, Arizona",Arizona
"Ajo Unified School District, Arizona",Arizona
"Alhambra Elementary School District, Arizona",Arizona
"Alpine Elementary School District, Arizona",Arizona
"Altar Valley Elementary School District, Arizona",Arizona
"Amphitheater Public Schools, Arizona",Arizona
"Antelope Union High School District, Arizona",Arizona
"Apache Junction Unified School District, Arizona",Arizona
"Arlington Elementary School District, Arizona",Arizona
"Ash Creek Elementary School District, Arizona",Arizona
"Ash Fork Joint Unified School District, Arizona",Arizona
"Avondale Elementary School District, Arizona",Arizona
"Bagdad Unified School District, Arizona",Arizona
"Balsz Elementary School District, Arizona",Arizona
"Beaver Creek Elementary School District, Arizona",Arizona
"Benson Unified School District, Arizona",Arizona
"Bicentennial Union High School District, Arizona",Arizona
"Bisbee Unified School District, Arizona",Arizona
"Blue Ridge Unified School District, Arizona",Arizona
"Bonita Elementary School District, Arizona",Arizona
"Bouse Elementary School District, Arizona",Arizona
"Bowie Unified School District, Arizona",Arizona
"Buckeye Elementary School District, Arizona",Arizona
"Buckeye Union High School District, Arizona",Arizona
"Bullhead City Elementary School District, Arizona",Arizona
"Camp Verde Unified School District, Arizona",Arizona
"Canon Elementary School District, Arizona",Arizona
"Cartwright Elementary School District, Arizona",Arizona
"Casa Grande Elementary School District, Arizona",Arizona
"Casa Grande Union High School District, Arizona",Arizona
"Catalina Foothills Unified School District, Arizona",Arizona
"Cave Creek Unified School District, Arizona",Arizona
"Cedar Unified School District, Arizona",Arizona
"Central Arizona Valley Institute of Technology, Arizona",Arizona
"Chevelon Butte School District, Arizona",Arizona
"Chinle Unified School District, Arizona",Arizona
"Cobre Valley Institute of Technology, Arizona",Arizona
"Clarkdale-Jerome Elementary School District, Arizona",Arizona
"Chino Valley Unified School District, Arizona",Arizona
"Chandler Unified School District, Arizona",Arizona
"Cochise Elementary School District, Arizona",Arizona
"Coconino Association for Vocation Industry and Technology, Arizona",Arizona
"Colorado City Unified School District, Arizona",Arizona
"Colorado River Union High School District, Arizona",Arizona
"Cottonwood-Oak Creek Elementary School District, Arizona",Arizona
"Coolidge Unified School District, Arizona",Arizona
"Continental Elementary School District, Arizona",Arizona
"Concho Elementary School District, Arizona",Arizona
"Congress Elementary School District, Arizona",Arizona
"Crane Elementary School District, Arizona",Arizona
"Creighton Elementary School District, Arizona",Arizona
"Crown King Elementary School District, Arizona",Arizona
"Double Adobe Elementary School District, Arizona",Arizona
"Deer Valley Unified School District, Arizona",Arizona
"Duncan Unified School District, Arizona",Arizona
"Dysart Unified School District, Arizona",Arizona
"East Valley Institute of Technology, Arizona",Arizona
"Eagle Elementary School District, Arizona",Arizona
"Douglas Unified School District, Arizona",Arizona
"Elfrida Elementary School District, Arizona",Arizona
"Eloy Elementary School District, Arizona",Arizona
"Esperanza Academy Accommodation School District, Arizona",Arizona
"Flagstaff Unified School District, Arizona",Arizona
"Florence Unified School District, Arizona",Arizona
"Flowing Wells Unified School District, Arizona",Arizona
"Fort Thomas Unified School District, Arizona",Arizona
"Fountain Hills Unified School District, Arizona",Arizona
"Fowler Elementary School District, Arizona",Arizona
"Fredonia-Moccasin Unified School District, Arizona",Arizona
"Gadsden Elementary School District, Arizona",Arizona
"Gila Bend Unified School District, Arizona",Arizona
"Ganado Unified School District, Arizona",Arizona
"Globe Unified School District, Arizona",Arizona
"Gila Institute for Technology, Arizona",Arizona
"Glendale Elementary School District, Arizona",Arizona
"Glendale Union High School District, Arizona",Arizona
"Empire School District, Arizona",Arizona
"Gilbert Public Schools, Arizona",Arizona
"Grand Canyon Unified School District, Arizona",Arizona
"Hackberry School District, Arizona",Arizona
"Hayden-Winkelman Unified School District, Arizona",Arizona
"Heber-Overgaard Unified School District, Arizona",Arizona
"Holbrook Unified School District, Arizona",Arizona
"Hillside Elementary School District, Arizona",Arizona
"Higley Unified School District, Arizona",Arizona
"Humboldt Unified School District, Arizona",Arizona
"Hyder Elementary School District, Arizona",Arizona
"Isaac Elementary School District, Arizona",Arizona
"Joseph City Unified School District, Arizona",Arizona
"Kayenta Unified School District, Arizona",Arizona
"Kingman Unified School District, Arizona",Arizona
"Kirkland Elementary School District, Arizona",Arizona
"Klondyke Elementary School District, Arizona",Arizona
"Kyrene Elementary School District, Arizona",Arizona
"Lake Havasu Unified School District, Arizona",Arizona
"Laveen Elementary School District, Arizona",Arizona
"Liberty Elementary School District, Arizona",Arizona
"Litchfield Elementary School District, Arizona",Arizona
"Littlefield Unified School District, Arizona",Arizona
"Littleton Elementary School District, Arizona",Arizona
"Madison Elementary School District, Arizona",Arizona
"Maine Consolidated School District, Arizona",Arizona
"Mammoth-San Manuel Unified School District, Arizona",Arizona
"Marana Unified School District, Arizona",Arizona
"Maricopa County Regional School District, Arizona",Arizona
"Maricopa Unified School District, Arizona",Arizona
"Mary C. O'Brien Accommodation School District, Arizona",Arizona
"Mayer Unified School District, Arizona",Arizona
"McNary Elementary School District, Arizona",Arizona
"McNeal Elementary School District, Arizona",Arizona
"Miami Unified School District, Arizona",Arizona
"Mingus Union High School District, Arizona",Arizona
"Mesa Public Schools, Arizona",Arizona
"Mobile Elementary School District, Arizona",Arizona
"Mohave Valley Elementary School District, Arizona",Arizona
"Mohawk Valley Elementary School District, Arizona",Arizona
"Morenci Unified School District, Arizona",Arizona
"Morristown Elementary School District, Arizona",Arizona
"Mountain Institute Joint Technology Education District, Arizona",Arizona
"Murphy Elementary School District, Arizona",Arizona
"Nogales Unified School District, Arizona",Arizona
"Naco Elementary School District, Arizona",Arizona
"Nadaburg Unified School District, Arizona",Arizona
"Osborn Elementary School District, Arizona",Arizona
"Northeast Arizona Technological Institute of Vocational Education, Arizona",Arizona
"Northern Arizona Vocational Institute of Technology, Arizona",Arizona
"Oracle Elementary School District, Arizona",Arizona
"Page Unified School District, Arizona",Arizona
"Palo Verde Elementary School District, Arizona",Arizona
"Paloma Elementary School District, Arizona",Arizona
"Palominas Elementary School District, Arizona",Arizona
"Parker Unified School District, Arizona",Arizona
"Patagonia Elementary School District, Arizona",Arizona
"Paradise Valley Unified School District, Arizona",Arizona
"Pearce Elementary School District, Arizona",Arizona
"Pendergast Elementary School District, Arizona",Arizona
"Patagonia Union High School District, Arizona",Arizona
"Payson Unified School District, Arizona",Arizona
"Peach Springs Unified School District, Arizona",Arizona
"Pima County Joint Technological Education District, Arizona",Arizona
"Picacho Elementary School District, Arizona",Arizona
"Phoenix Elementary School District, Arizona",Arizona
"Peoria Unified School District, Arizona",Arizona
"Phoenix Union High School District, Arizona",Arizona
"Pima Unified School District, Arizona",Arizona
"Pine Strawberry Elementary School District, Arizona",Arizona
"Pomerene Elementary School District, Arizona",Arizona
"Red Mesa Unified School District, Arizona",Arizona
"Ray Unified School District, Arizona",Arizona
"Queen Creek Unified School District, Arizona",Arizona
"Quartzsite Elementary School District, Arizona",Arizona
"Prescott Unified School District, Arizona",Arizona
"Red Rock Elementary School District, Arizona",Arizona
"Redington School District, Arizona",Arizona
"Riverside Elementary School District, Arizona",Arizona
"Roosevelt Elementary School District, Arizona",Arizona
"Round Valley Unified School District, Arizona",Arizona
"Sacaton Elementary School District, Arizona",Arizona
"Saddle Mountain Unified School District, Arizona",Arizona
"Safford Unified School District, Arizona",Arizona
"Sahuarita Unified School District, Arizona",Arizona
"San Carlos Unified School District, Arizona",Arizona
"San Simon Unified School District, Arizona",Arizona
"Salome Consolidated Elementary School District, Arizona",Arizona
"San Fernando Elementary School District, Arizona",Arizona
"Sanders Unified School District, Arizona",Arizona
"Santa Cruz Elementary School District, Arizona",Arizona
"Santa Cruz Valley Unified School District, Arizona",Arizona
"Santa Cruz Valley Union High School District, Arizona",Arizona
"Scottsdale Unified School District, Arizona",Arizona
"Sierra Vista Unified School District, Arizona",Arizona
"Sedona-Oak Creek Joint Unified School District, Arizona",Arizona
"Seligman Unified School District, Arizona",Arizona
"Sentinel Elementary School District, Arizona",Arizona
"Show Low Unified School District, Arizona",Arizona
"Skull Valley Elementary School District, Arizona",Arizona
"Snowflake Unified School District, Arizona",Arizona
"Solomon Elementary School District, Arizona",Arizona
"Somerton Elementary School District, Arizona",Arizona
"Sonoita Elementary School District, Arizona",Arizona
"St. David Unified School District, Arizona",Arizona
"St. Johns Unified School District, Arizona",Arizona
"Stanfield Elementary School District, Arizona",Arizona
"Sunnyside Unified School District, Arizona",Arizona
"Superior Unified School District, Arizona",Arizona
"Tanque Verde Unified School District, Arizona",Arizona
"Tolleson Elementary School District, Arizona",Arizona
"Thatcher Unified School District, Arizona",Arizona
"Tempe Union High School District, Arizona",Arizona
"Tempe Elementary School District, Arizona",Arizona
"Tolleson Union High School District, Arizona",Arizona
"Toltec Elementary School District, Arizona",Arizona
"Tombstone Unified School District, Arizona",Arizona
"Tonto Basin Elementary School District, Arizona",Arizona
"Topock Elementary School District, Arizona",Arizona
"Tuba City Unified School District, Arizona",Arizona
"Vail Unified School District, Arizona",Arizona
"Valentine Elementary School District, Arizona",Arizona
"Union Elementary School District, Arizona",Arizona
"Tucson Unified School District, Arizona",Arizona
"Valley Union High School District, Arizona",Arizona
"Vernon Elementary School District, Arizona",Arizona
"Walnut Grove Elementary District, Arizona",Arizona
"Washington Elementary School District, Arizona",Arizona
"Wellton Elementary School District, Arizona",Arizona
"Wenden Elementary School District, Arizona",Arizona
"West-Mec-Western Maricopa Education Center, Arizona",Arizona
"Whiteriver Unified School District, Arizona",Arizona
"Willcox Unified School District, Arizona",Arizona
"Williams Unified School District, Arizona",Arizona
"Wickenburg Unified School District, Arizona",Arizona
"Wilson Elementary School District, Arizona",Arizona
"Window Rock Unified School District, Arizona",Arizona
"Winslow Unified School District, Arizona",Arizona
"Yarnell Elementary School District, Arizona",Arizona
"Yucca Elementary School District, Arizona",Arizona
"Young Elementary School District, Arizona",Arizona
"Yuma Elementary School District, Arizona",Arizona
"Yuma Union High School District, Arizona",Arizona
"Forrest Elementary School District, Arizona",Arizona
"Piñon Unified School District, Arizona",Arizona
"Baboquivari Unified School District, Arizona",Arizona
"Apache Elementary School District, Arizona",Arizona
"Fort Huachuca Accommodation School District, Arizona",Arizona
"Navajo County Accommodation School District, Arizona",Arizona
"Graham County Special Services School District, Arizona",Arizona
"Yavapai Accommodation School District, Arizona",Arizona
"Blue Elementary School District, Arizona",Arizona
"Coconino County Accommodation School District, Arizona",Arizona
"Clifton Unified School District, Arizona",Arizona
"J. O. Combs Unified School District, Arizona",Arizona
"Owens-Whitney Elementary School District, Arizona",Arizona
"Cossatot River School District, Arkansas",Arkansas
"Harrison School District, Arkansas",Arkansas
"Mammoth Spring School District, Arkansas",Arkansas
"Altus-Denning School District, Arkansas",Arkansas
"Texarkana Arkansas School District, Arkansas",Arkansas
"Plainview-Rover School District, Arkansas",Arkansas
"Perryville School District, Arkansas",Arkansas
"Bauxite School District, Arkansas",Arkansas
"Norfork School District, Arkansas",Arkansas
"Searcy School District, Arkansas",Arkansas
"Marmaduke School District, Arkansas",Arkansas
