LEA_NAME,simbli_id,LEAID
SALEM R-80,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=141,2927090
GREEN FOREST R-II,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=143,2913260
AVA R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=148,2904050
HOLCOMB R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=151,2914460
CLARKTON C-4,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=152,2909120
KENNETT 39,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=155,2916500
MERAMEC VALLEY R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=157,2923460
UNION R-XI,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=158,2930570
SPRING BLUFF R-XV,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=160,2912450
STRAIN-JAPAN R-XVI,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=161,2912480
WASHINGTON,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=165,2931110
GASCONADE CO. R-II,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=166,2923340
GASCONADE CO. R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=167,2914280
Albertville City,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=171,100005
ASH GROVE R-IV,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=173,2903270
WALNUT GROVE R-V,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=174,2930990
LOGAN-ROGERSVILLE R-VIII,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=176,2919170
Conecuh County,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=177,100870
FAIR GROVE R-X,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=178,2911700
TRENTON R-IX,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=183,2930360
SOUTH HARRISON CO. R-II,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=185,2900002
Chatham County Schools,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=190,3700750
FAYETTE R-III,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=204,2911990
Coffee County,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=207,100810
WILLOW SPRINGS R-IV,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=208,2932070
WEST PLAINS R-VII,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=210,2931680
JUNCTION HILL C-12,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=212,2915060
FAIRVIEW R-XI,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=213,2911850
SOUTH IRON CO. R-I,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=214,2928470
ARCADIA VALLEY R-II,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=215,2903150
IRON CO. C-4,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=217,2915510
GRAIN VALLEY R-V,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=220,2913080
OAK GROVE R-VI,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=221,2923010
Elmore County,https://simbli.eboardsolutions.com/SB_Meetings/SB_MeetingListing.aspx?S=223,101290
