simbli_id,LEAID,LEA_NAME
443,2922650,NORMANDY SCHOOLS COLLABORATIVE
445,2926670,RIVERVIEW GARDENS
446,2930660,UNIVERSITY CITY
447,2930690,VALLEY PARK
448,2931530,WEBSTER GROVES
457,2920410,MARSHALL
462,2920700,SCOTLAND CO. R-I
470,3702250,Hoke County Schools
471,2911450,EMINENCE R-I
478,2905250,BLOOMFIELD R-XIV
480,3702280,Hyde County Schools
491,2912240,FORSYTH R-III
492,2905760,BRANSON R-IV
493,2914550,HOLLISTER R-V
496,2929730,SUCCESS R-VI
497,2914840,HOUSTON R-I
498,2929810,SUMMERSVILLE R-II
499,2918600,LICKING R-VIII
500,2906430,CABOOL R-IV
503,2921840,NEVADA R-V
504,2905910,BRONAUGH R-VII
507,1304380,Richmond County
508,2931050,WARREN CO. R-III
509,2931140,KINGSTON K-14
510,2925500,POTOSI R-III
511,2931230,RICHWOODS R-VII
513,2913380,GREENVILLE R-II
516,2912180,FORDLAND R-III
521,2913770,HARTVILLE R-II
522,2921510,MOUNTAIN GROVE R-III
640,3703270,Nash County Public Schools
680,3703480,Orange County Schools
740,3700012,Pitt County Schools
800,3704050,Rowan-Salisbury Schools
820,3704140,Sampson County Schools
910,3704650,Vance County Schools
920,1304950,Thomasville City
940,3704800,Washington County Schools
1020,1305040,Toombs County
1058,4606240,Bennett County School District 03-1
1071,4609512,Burke School District 26-2
1075,4611280,Castlewood School District 28-1
1094,4600036,Deuel School District 19-4
1097,4619450,Dupree School District 64-2
1104,1305220,Twiggs County
1105,4621400,Frederick Area School District 06-2
1124,4629880,Gregory School District 26-4
1126,4630490,Haakon School District 27-1
1140,4600025,Howard School District 48-3
1146,1305460,Warren County
1150,1305550,Wayne County
1158,4641640,Leola School District 44-2
1166,4646260,McIntosh School District 15-1
1198,4660450,Redfield School District 56-4
1209,4600053,Sisseton School District 54-2
1236,4676680,Waubay School District 18-3
1262,1305850,Worth County
1594,4647942,Miller 29-4
1595,1300214,State Specialty Schools I- Mountain Education High School
2001,1300214,State Specialty Schools I- Mountain Education High School
2002,101920,Jefferson County
2003,101920,Jefferson County
2005,100390,Birmingham City
2006,103420,Tuscumbia City
2009,101730,Hartselle City
2013,100450,Brewton City
2014,103090,Sumter County
2017,102010,Lauderdale County
2032,100005,Albertville City
2037,100005,Albertville City
2040,100194,Pelham City
2045,101690,Guntersville City
2048,103150,Talladega City
2050,102100,Limestone County
2052,100210,Auburn City
2053,103240,Tallassee City
2054,102490,Mountain Brook City
2055,103450,Walker County
2057,103450,Walker County
2058,101230,Dothan City
2059,100006,Marshall County
2070,100810,Coffee County
2077,102370,Mobile County
2084,100120,Athens City
2086,100420,Blount County
2088,103360,Tuscaloosa City
2091,100011,Leeds City
2092,103390,Tuscaloosa County
2093,103270,Tarrant City
2095,102700,Phenix City
2098,102350,Midfield City
2101,100660,Chilton County
